él	ella
serbio	serbia
estúpido	estúpida
payaso	payasa
constructor	constructora
palestino	palestina
mojado	mojada
precursor	precursora
fracasado	fracasada
guardián	guardiana
enano	enana
acreedor	acreedora
bizantino	bizantina
rústico	rústica
fanático	fanática
unitario	unitaria
mensajero	mensajera
burro	burra
afiliado	afiliada
ilustrador	ilustradora
lanzador	lanzadora
graduado	graduada
sudamericano	sudamericana
moreno	morena
morenito	morenita
zorro	zorra
zorrito	zorrita
locutor	locutora
antecesor	antecesora
demandado	demandada
rapero	rapera
procurador	procuradora
decano	decana
supervisor	supervisora
místico	mística
mentor	mentora
cachorro	cachorra
cachorrito	cachorrita
padrino	madrina
pescador	pescadora
notario	notaria
subsecretario	subsecretaria
beneficiario	beneficiaria
siervo	sierva
marinero	marinera
salvador	salvadora
competidor	competidora
sevillano	sevillana
patrocinador	patrocinadora
guerrillero	guerrillera
romero	romera
vago	vaga
tirano	tirana
adicto	adicta
egresado	egresada
patriarca	matriarca
carpintero	carpintera
seleccionador	seleccionadora
intermediario	intermediaria
artesano	artesana
interlocutor	interlocutora
mediador	mediadora
puertorriqueño	puertorriqueña
andromedano	andromedana
conquistador	conquistadora
regidor	regidora
corrector	correctora
orador	oradora
cajero	cajera
exiliado	exiliada
yerno	nuera
vigésimo	vigésima
apoderado	apoderada
jardinero	jardinera
burgués	burguesa
ganadero	ganadera
pensador	pensadora
psíquico	psíquica
flaco	flaca
flaquito	flaquita
prematuro	prematura
anotador	anotadora
noticiero	noticiera
navarro	navarra
agricultor	agricultora
exportador	exportadora
tirador	tiradora
neoclásico	neoclásica
perdedor	perdedora
colector	colectora
honorario	honoraria
transmisor	transmisora
ingenuo	ingenua
murciélago	murciélaga
erudito	erudita
destructor	destructora
cofundador	cofundadora
tico	tica
jubilado	jubilada
animador	animadora
cabrón	cabrona
clandestino	clandestina
peregrino	peregrina
instalador	instaladora
oriundo	oriunda
prefecto	prefecta
estudioso	estudiosa
loro	lora
preparador	preparadora
auditor	auditora
huérfano	huérfana
peón	peona
sordo	sorda
laico	laica
tapado	tapada
admirador	admiradora
limpiador	limpiadora
colorado	colorada
multimillonario	multimillonaria
refugiado	refugiada
gatito	gatita
emulador	emuladora
subdirector	subdirectora
tesorero	tesorera
depredador	depredadora
progenitor	progenitora
inquilino	inquilina
homólogo	homóloga
bárbaro	bárbara
predicador	predicadora
sapo	sapa
coautor	coautora
virtuoso	virtuosa
alcohólico	alcohólica
seductor	seductora
escéptico	escéptica
comunicador	comunicadora
viceministro	viceministra
calvo	calva
franciscano	franciscana
pillo	pilla
serrano	serrana
devoto	devota
cantor	cantora
paisano	paisana
diplomado	diplomada
galés	galesa
papi	mami
papito	mamita
papacito	mamacita
topo	topa
antepasado	antepasada
perito	perita
hotelero	hotelera
pendejo	pendeja
subordinado	subordinada
rockero	rockera
mafioso	mafiosa
letrado	letrada
desgraciado	desgraciada
barcelonés	barcelonesa
recibidor	recibidora
cuidador	cuidadora
rabino	rabina
vizconde	vizcondesa
malagueño	malagueña
francotirador	francotiradora
elector	electora
exjugador	exjugadora
llavero	llavera
cautivo	cautiva
pelado	pelada
mendigo	mendiga
leonés	leonesa
tigre	tigresa
extremeño	extremeña
bombero	bombera
occitano	occitana
escribano	escribana
chiquito	chiquita
chiquitito	chiquitita
pequeñín	pequeñina
chivo	chiva
libertario	libertaria
camello	camella
vagabundo	vagabunda
asegurador	aseguradora
soñador	soñadora
operario	operaria
pagano	pagana
mercenario	mercenaria
inhibidor	inhibidora
alpino	alpina
visionario	visionaria
convertidor	convertidora
vikingo	vikinga
cínico	cínica
tibetano	tibetana
ginecólogo	ginecóloga
ancestro	ancestra
centroamericano	centroamericana
mestizo	mestiza
formador	formadora
labrador	labradora
matador	matadora
enfermero	enfermera
vegetariano	vegetariana
becario	becaria
osito	osita
oso	osa
patito	patita
pato	pata
cerdo	cerda
cerdito	cerdita
expositor	expositora
geógrafo	geógrafa
precandidato	precandidata
manipulador	manipuladora
curador	curadora
infractor	infractora
geólogo	geóloga
cartero	cartera
propulsor	propulsora
mezclador	mezcladora
pedagogo	pedagoga
triunfador	triunfadora
facilitador	facilitadora
importador	importadora
bastardo	bastarda
transportador	transportadora
filólogo	filóloga
lexicográfico	lexicográfica
lexicológico	lexicológica
arrendatario	arrendataria
sureño	sureña
panadero	panadera
violador	violadora
prelado	prelada
consolador	consoladora
reductor	reductora
coreógrafo	coreógrafa
metafísico	metafísica
entrevistador	entrevistadora
librero	librera
prófugo	prófuga
gringo	gringa
asno	asna
germano	germana
bisabuelo	bisabuela
abuelito	abuelita
principito	princesita
ecléctico	ecléctica
integrador	integradora
manchego	manchega
hidalgo	hidalga
fugitivo	fugitiva
prior	priora
repartidor	repartidora
coqueto	coqueta
homenajeado	homenajeada
basurero	basurera
marciano	marciana
venusino	venusina
saturniano	saturniana
abridor	abridora
negociador	negociadora
cinéfilo	cinéfila
reparador	reparadora
interventor	interventora
arameo	aramea
disparador	disparadora
divorciado	divorciada
disperso	dispersa
platónico	platónica
emigrado	emigrada
norteño	norteña
gaditano	gaditana
intruso	intrusa
peatón	peatona
profano	profana
barbero	barbera
libertador	libertadora
hermanastro	hermanastra
pervertido	pervertida
confesor	confesora
astrólogo	astróloga
provocador	provocadora
marginado	marginada
pisco	pisca
superintendente	superintendenta
corso	corsa
camionero	camionera
prusiano	prusiana
estafador	estafadora
multiplicador	multiplicadora
archiduque	archiduquesa
bandido	bandida
bloqueador	bloqueadora
relator	relatora
riojano	riojana
cantaor	cantaora
bateador	bateadora
potro	potra
analizador	analizadora
beato	beata
postor	postora
politólogo	politóloga
obeso	obesa
californiano	californiana
benefactor	benefactora
vicegobernador	vicegobernadora
ex-presidente	ex-presidenta
expresidente	expresidenta
copresidente	copresidenta
ganso	gansa
paleontólogo	paleontóloga
acumulador	acumuladora
perseguidor	perseguidora
cornudo	cornuda
usurpador	usurpadora
liberador	liberadora
forastero	forastera
discapacitado	discapacitada
bretón	bretona
sicario	sicaria
escandinavo	escandinava
luso	lusa
perturbador	perturbadora
secuestrador	secuestradora
fulano	fulana
síndico	síndica
pelotero	pelotera
joyero	joyera
acomodado	acomodada
hacendado	hacendada
emisario	emisaria
matón	matona
orientador	orientadora
agrónomo	agrónoma
literato	literata
arrendador	arrendadora
desempleado	desempleada
inquisidor	inquisidora
comendador	comendadora
ropero	ropera
benedictino	benedictina
dermatólogo	dermatóloga
bioquímico	bioquímica
canterano	canterana
cortesano	cortesana
ideólogo	ideóloga
conseller	consellera
registrador	registradora
llanero	llanera
redentor	redentora
cabrito	cabrita
bisnieto	bisnieta
tuerto	tuerta
florentino	florentina
corsario	corsaria
pupilo	pupila
musicólogo	musicóloga
kurdo	kurda
conciliador	conciliadora
impostor	impostora
chiquillo	chiquilla
repetidor	repetidora
suburbano	suburbana
contralor	contralora
recolector	recolectora
imitador	imitadora
analfabeto	analfabeta
suscriptor	suscriptora
probador	probadora
inexperto	inexperta
napolitano	napolitana
armador	armadora
iberoamericano	iberoamericana
siciliano	siciliana
reformador	reformadora
proletario	proletaria
genovés	genovesa
retrógrado	retrógrada
vicerrector	vicerrectora
planificador	planificadora
hacedor	hacedora
espartano	espartana
novillero	novillera
chancho	chancha
zaragozano	zaragozana
fenicio	fenicia
hispanoamericano	hispanoamericana
bicampeón	bicampeona
salmantino	salmantina
converso	conversa
eurodiputado	eurodiputada
bávaro	bávara
cervecero	cervecera
gladiador	gladiadora
agraciado	agraciada
esquiador	esquiadora
pobrecito	pobrecita
búfalo	búfala
suramericano	suramericana
maltratador	maltratadora
insensato	insensata
sensato	sensata
drogadicto	drogadicta
becado	becada
lechero	lechera
tomador	tomadora
charro	charra
metalúrgico	metalúrgica
metalero	metalera
calculador	calculadora
criador	criadora
manufacturero	manufacturera
incomprendido	incomprendida
convicto	convicta
cartaginés	cartaginesa
tarado	tarada
mesero	mesera
mulato	mulata
avaro	avara
cartógrafo	cartógrafa
introvertido	introvertida
abusador	abusadora
activador	activadora
decorador	decoradora
surtidor	surtidora
examinador	examinadora
testador	testadora
asirio	asiria
visitador	visitadora
prestatario	prestataria
mejicano	mejicana
montañero	montañera
anunciador	anunciadora
remolcador	remolcadora
toscano	toscana
subalterno	subalterna
recaudador	recaudadora
vengador	vengadora
finado	finada
futbolero	futbolera
vicesecretario	vicesecretaria
hipopótamo	hipopótama
paralítico	paralítica
bebedor	bebedora
ochenteno	ochentena
escenógrafo	escenógrafa
xenófobo	xenófoba
cabezón	cabezona
normando	normanda
drogado	drogada
siberiano	siberiana
hawaiano	hawaiana
exsecretario	exsecretaria
chato	chata
recluso	reclusa
agnóstico	agnóstica
ingrato	ingrata
pijo	pija
borrego	borrega
desertor	desertora
jornalero	jornalera
benjamín	benjamina
transgresor	transgresora
codirector	codirectora
salsero	salsera
sádico	sádica
chiflado	chiflada
trepador	trepadora
desalojado	desalojada
micólogo	micóloga
fiador	fiadora
presumido	presumida
continuador	continuadora
colonizador	colonizadora
bandolero	bandolera
desamparado	desamparada
dador	dadora
preceptor	preceptora
oidor	oidora
lombardo	lombarda
neurótico	neurótica
hospedador	hospedadora
leproso	leprosa
súbdito	súbdita
pitufo	pitufa
meteorólogo	meteoróloga
sumerio	sumeria
titiritero	titiritera
filosofo	filosofa
jorobado	jorobada
pastelero	pastelera
entomólogo	entomóloga
pedófilo	pedófila
morisco	morisca
cholo	chola
occiso	occisa
suministrador	suministradora
esquizofrénico	esquizofrénica
explotador	explotadora
comunero	comunera
guarro	guarra
incendiario	incendiaria
segoviano	segoviana
carcelero	carcelera
victimario	victimaria
cobrador	cobradora
patinador	patinadora
tejano	tejana
gamberro	gamberra
manejador	manejadora
colchonero	colchonera
histérico	histérica
llorón	llorona
jónico	jónica
torturador	torturadora
anglicano	anglicana
ranchero	ranchera
checoslovaco	checoslovaca
samaritano	samaritana
visualizador	visualizadora
devorador	devoradora
templario	templaria
rastreador	rastreadora
montador	montadora
andador	andadora
miliciano	miliciana
poblador	pobladora
clasificador	clasificadora
estimulador	estimuladora
salesiano	salesiana
libertino	libertina
gregario	gregaria
pololo	polola
indoeuropeo	indoeuropea
euroasiático	euroasiática
eurasiático	eurasiática
telemático	telemática
plebeyo	plebeya
cultivador	cultivadora
urólogo	uróloga
lechón	lechona
petardo	petarda
adepto	adepta
neurocirujano	neurocirujana
introductor	introductora
fariseo	farisea
evangelizador	evangelizadora
reboteador	reboteadora
trinitario	trinitaria
superdotado	superdotada
gruñón	gruñona
ortopédico	ortopédica
cochero	cochera
tranquilizador	tranquilizadora
cretino	cretina
necio	necia
terco	terca
obstinado	obstinada
testarudo	testaruda
oncólogo	oncóloga
encomendero	encomendera
coruñés	coruñesa
neonato	neonata
molinero	molinera
mañanero	mañanera
cantonés	cantonesa
mochilero	mochilera
exdiputado	exdiputada
supervillano	supervillana
superhéroe	superheroína
limonero	limonera
pichón	pichona
enólogo	enóloga
lacayo	lacaya
mamón	mamona
telonero	telonera
informador	informadora
arriero	arriera
mesoamericano	mesoamericana
boticario	boticaria
cantábrico	cantábrica
picador	picadora
muchachito	muchachita
hombrecito	mujercita
maño	maña
demagogo	demagoga
indiano	indiana
archivero	archivera
cuate	cuata
instigador	instigadora
afinador	afinadora
barquero	barquera
apático	apática
depravado	depravada
cateto	cateta
cancerbero	cancerbera
ario	aria
exterminador	exterminadora
texano	texana
patólogo	patóloga
tejedor	tejedora
rectificador	rectificadora
agrimensor	agrimensora
costeño	costeña
retardado	retardada
delator	delatora
acusador	acusadora
indocumentado	indocumentada
documentado	documentada
conspirador	conspiradora
excandidato	excandidata
celador	celadora
neófito	neófita
soriano	soriana
traumatólogo	traumatóloga
recuperador	recuperadora
tricampeón	tricampeona
vividor	vividora
peticionario	peticionaria
valedor	valedora
armero	armera
jurisconsulto	jurisconsulta
estimador	estimadora
mixteco	mixteca
milanés	milanesa
pardillo	pardilla
ribereño	ribereña
pirotécnico	pirotécnica
cosaco	cosaca
moroso	morosa
supresor	supresora
especulador	especuladora
reclutador	reclutadora
jefazo	jefaza
posadero	posadera
blasfemo	blasfema
tertuliano	tertuliana
maníaco	maníaca
fiscalizador	fiscalizadora
tatarabuelo	tatarabuela
copropietario	copropietaria
mellizo	melliza
perpetrador	perpetradora
freudiano	freudiana
donador	donadora
taquillero	taquillera
paramédico	paramédica
mormón	mormona
bodeguero	bodeguera
maquillador	maquilladora
captor	captora
novicio	novicia
rejoneador	rejoneadora
atracador	atracadora
doblador	dobladora
tipejo	tipeja
homofóbico	homofóbica
etnólogo	etnóloga
frigio	frigia
archivador	archivadora
substituto	substituta
malcriado	malcriada
tecnólogo	tecnóloga
primerizo	primeriza
montenegrino	montenegrina
tatuador	tatuadora
mamarracho	mamarracha
octogenario	octogenaria
puritano	puritana
egiptólogo	egiptóloga
aritmético	aritmética
carrocero	carrocera
lunático	lunática
tasador	tasadora
