and	そして
party	パーティー
college	カレッジ
college	大学
result	結果
keep	キープ
four	four
four	フォー
even	偶数
even	even
class	階級
class	クラス
government	政府
how	how
did	did
each	それぞれ
center	センター
center	中央
center	中心
per	単価
style	スタイル
com	com
long	長い
long	ロング
country	国名
country	カントリー
back	戻る
back	後ろ
back	背中
back	裏側
way	ウェイ
www	www
modify	編集
modify	変更
end	終了
end	エンド
make	メイク
make	make
public	公衆
public	公開
public	パブリック
won	ウォン
won	won
support	サポート
support	支持
games	ゲーム
former	前者
those	それら
church	チャーチ
church	教会堂
church	教会
east	イースト
east	東部
line	直線
line	ライン
major	少佐
major	メジャー
major	専攻
members	メンバー
members	メンバ
good	良い
good	グッド
image	画像
image	イメージ
show	ショー
still	スティル
still	それでも
still	まだ
think	シンク
below	以下
town	タウン
last	最終
last	ラスト
last	最後
system	システム
song	歌曲
song	ソング
non	non
section	セクション
single	シングル
single	独身
home	自宅
home	ホーム
home	帰宅
women	女性
television	テレビ
seed	種子
seed	シード
member	メンバ
member	会員
member	メンバー
goals	ゴール
goals	目標
sources	ソース
sources	出典
book	書物
book	ブック
station	ステーション
order	オーダー
order	注文
old	古い
old	オールド
information	情報
set	集合
set	セット
own	own
text	テキスト
band	band
band	バンド
point	ポイント
local	ローカル
local	地元
river	河川
top	top
top	上部
top	トップ
main	メイン
language	言語
french	フレンチ
french	フランス語
https	https
named	named
off	オフ
note	メモ
note	ノート
career	経歴
career	キャリア
original	オリジナル
age	age
age	年齢
service	サービス
established	設立
website	ウェブサイト
population	人口
air	空気
air	航空
air	エア
german	ドイツ語
law	法律
law	法学
military	軍事
military	軍隊
great	グレート
clubs	クラブ
president	大統領
president	プレジデント
president	社長
park	パーク
park	公園
official	公式
official	職員
case	ケース
london	ロンドン
times	タイムズ
small	小さな
small	スモール
small	小さい
third	番目
third	サード
different	異なる
due	締切
get	ゲット
get	get
village	村落
village	ヴィレッジ
closed	閉店
art	art
art	アート
art	芸術
art	美術
player	プレイヤー
player	プレーヤー
final	最終
final	決勝
final	ファイナル
community	コミュニティ
community	コミュニティー
held	開催
again	再び
again	アゲイン
army	アーミー
army	軍隊
army	陸軍
award	受賞
award	表彰
without	なし
death	デス
men	男性
men	メン
large	大きい
site	サイト
site	敷地
deletion	削除
white	白い
white	ホワイト
five	ファイブ
five	五つ
five	five
central	中央
central	セントラル
road	道路
children	子供
free	フリー
free	無料
free	自由
england	イギリス
include	含める
association	社団
association	協会
association	アソシエーション
down	ダウン
given	与えられた
source	ソース
source	出典
california	カリフォルニア
man	男性
man	man
version	バージョン
written	筆記
created	作成
media	メディア
black	黒い
black	ブラック
though	だけれども
php	php
report	レポート
report	報告
building	建物
take	take
division	師団
division	ディビジョン
comment	コメント
having	having
king	king
king	国王
king	キング
edit	編集
stadium	スタジアム
ship	船舶
research	研究
research	リサーチ
record	レコード
record	記録
archive	書庫
archive	アーカイブ
places	場所
places	スポット
undo	取り消し
undo	取り消す
cup	カップ
cup	コップ
cup	cup
records	レコード
often	頻繁
often	しばしば
few	少数
received	受け取り
received	受信
side	サイド
power	権力
power	パワー
education	教育
education	学歴
category	カテゴリー
category	区分
category	カテゴリ
category	分類
water	ウォーター
field	フィールド
near	付近
near	近く
australia	オーストラリア
video	ビデオ
video	動画
need	ニーズ
form	形式
form	フォーム
find	find
play	遊ぶ
play	プレイ
play	遊び
project	プロジェクト
radio	ラジオ
works	ワークス
works	作品
development	発達
development	開発
live	ライブ
live	生きる
union	ユニオン
india	インド
next	next
special	スペシャル
court	法廷
court	コート
court	裁判所
region	リージョン
region	地域
little	リトル
little	小さい
short	短い
short	ショート
western	ウェスタン
western	ウエスタン
son	息子
france	フランス
others	他の
others	その他
royal	ロイヤル
current	現在
street	ストリート
street	通り
full	いっぱい
full	フル
red	赤い
red	赤色
red	レッド
too	too
department	部署
department	学科
department	部門
san	san
san	サン
help	ヘルプ
james	ジェームス
james	ジェームズ
open	オープン
open	開館
open	開く
force	フォース
position	位置
position	ポジション
position	役職
head	head
head	ヘッド
head	頭部
director	監督
director	ディレクター
director	取締役
father	父親
track	トラック
http	http
canada	カナダ
australian	オーストラリア
george	ジョージ
jpg	jpg
level	レベル
late	遅い
summer	summer
summer	サマー
society	社会
office	事務局
office	事務所
office	オフィス
period	期間
period	ピリオド
championship	チャンピオンシップ
championship	選手権
round	ラウンド
round	round
round	丸い
story	記事
story	ストーリー
story	物語
songs	ソング
file	ファイル
days	日数
land	ランド
land	土地
business	営業
business	事業
business	ビジネス
reason	理由
reason	理性
america	アメリカ
million	ミリオン
million	million
million	百万
term	用語
six	シックス
six	six
post	ポスト
post	投稿
why	なぜ
why	why
making	メイキング
subject	主体
subject	件名
young	若い
young	ヤング
total	合計
david	デイヴィッド
david	ダビデ
david	デビッド
david	デヴィッド
science	サイエンス
science	科学
related	関連
rock	ロック
archived	アーカイブ
railway	鉄道
led	led
students	生徒
students	学生
news	news
news	ニュース
role	役割
election	選任
election	選挙
albums	アルバム
present	現在
present	present
present	プレゼント
kingdom	王国
books	書物
books	帳簿
books	書籍
important	重要
northern	ノーザン
northern	北方
northern	北部
love	ラヴ
love	ラブ
run	run
run	ラン
run	走り
run	走る
canadian	カナダ
canadian	カナディアン
press	プレス
rather	むしろ
type	種類
type	タイプ
act	アクト
act	act
editor	エディタ
editor	エディター
schools	学校
schools	流派
program	プログラム
once	一度
issue	発行
issue	争点
issue	問題
social	ソーシャル
germany	ドイツ
production	製作
production	生産
production	プロダクション
male	男性
male	オス
awards	受賞
awards	表彰
points	ポイント
professional	プロフェッショナル
say	say
say	セイ
background	背景
background	バックグラウンド
enough	十分
lead	リード
common	共通
overlap	重複
data	データ
color	カラー
better	ベター
person	人物
services	サービス
museum	美術館
museum	博物館
battle	バトル
battle	戦闘
battle	戦い
sports	スポーツ
already	すでに
already	既に
currently	現在
hall	ホール
buildings	建物
buildings	建築物
date	デート
date	日付
deleted	削除
change	チェンジ
change	変更
change	変化
location	所在地
location	ロケーション
location	場所
yes	はい
southern	サザン
southern	南部
lost	ロスト
review	レビュー
review	審査
together	together
robert	ロベルト
robert	ロベール
robert	ロバート
fact	事実
less	少ない
japanese	日本人
japanese	ジャパニーズ
japanese	日本語
groups	グループ
content	コンテンツ
content	内容
isbn	isbn
board	ボード
japan	日本
control	コントロール
policy	ポリシー
policy	政策
policy	方針
modern	モダン
human	ヒト
human	ヒューマン
human	人間
half	半分
half	ハーフ
design	デザイン
design	設計
design	意匠
event	イベント
event	行事
events	イベント
events	行事
washington	ワシントン
real	real
real	本物
real	リアル
start	開始
start	始める
start	スタート
personal	パーソナル
personal	個人
action	アクション
space	スペース
space	空間
notability	notability
star	スター
star	恒星
star	star
really	本当に
china	中国
china	チャイナ
possible	可能性
paul	ポール
paul	パウル
working	働く
working	作業
far	far
far	遠く
far	遠い
going	going
minister	公使
minister	大臣
popular	人気
popular	ポピュラー
married	既婚
europe	欧州
europe	ヨーロッパ
author	作家
author	著者
author	作者
away	away
away	アウェイ
independent	独立
independent	インディペンデント
process	過程
process	プロセス
teams	チーム
character	文字
character	性格
character	キャラクター
low	低い
michael	ミヒャエル
michael	マイケル
pages	ページ
light	軽い
light	明るい
light	ライト
big	大きな
big	大きい
big	ビッグ
release	釈放
release	リリース
want	欲しい
episode	エピソード
republic	共和制
republic	共和国
thomas	トマス
thomas	トーマス
companies	会社
via	via
russian	ロシア
put	put
race	人種
race	競走
race	レース
route	経路
route	ルート
someone	誰か
police	警察官
police	ポリス
police	警察
charles	シャルル
listed	上場
users	ユーザー
users	ユーザ
template	テンプレート
eastern	東部
body	本文
body	身体
body	本体
body	ボディ
question	質問
question	疑問
italian	イタリアン
featured	注目
week	週間
editors	エディタ
texas	テキサス
chief	チーフ
close	閉じる
close	クローズ
himself	独学
match	マッチ
match	一致
roman	ローマン
roman	ロマン
roman	ローマ
tour	ツアー
sea	sea
cross	十字架
cross	クロス
cross	cross
cross	十字
health	健康
institute	研究所
green	グリーン
green	緑色
rights	権利
evidence	証拠
aircraft	航空機
aircraft	飛行機
arts	arts
arts	芸術
range	範囲
range	レンジ
probably	おそらく
consensus	合意
bar	バール
bar	バー
problem	問題
look	ルック
look	外観
issues	問題
alumni	同窓会
alumni	卒業生
average	平均
network	ネットワーク
win	win
win	勝利
win	勝ち
win	勝つ
night	ナイト
magazine	マガジン
magazine	雑誌
centre	中央
centre	センター
centre	中心
usually	通常
middle	真ん中
middle	ミドル
african	アフリカ
google	google
stage	舞台
stage	ステージ
addition	加算
addition	加法
ireland	アイルランド
today	トゥデイ
today	今日
academy	アカデミー
saint	セイント
saint	聖人
self	セルフ
self	自己
continued	続き
continued	継続
mother	おかあさん
mother	母親
africa	アフリカ
culture	文化
culture	カルチャー
grand	グランド
things	モノ
things	物事
things	もの
fire	火事
fire	ファイア
fire	火災
changed	変更された
gold	gold
gold	ゴールド
female	女性
course	コース
months	ヶ月
months	months
chinese	中国語
chinese	中国人
size	サイズ
mentioned	言及
add	追加
add	加算
festival	フェスティバル
festival	祭事
festival	祭り
festival	お祭り
peter	ペーター
peter	peter
peter	ピーター
basketball	バスケ
basketball	バスケットボール
move	ムーブ
move	移動
performance	パフォーマンス
performance	性能
performance	興行
standard	基準
standard	スタンダード
standard	標準
means	手段
give	与える
give	give
training	トレーニング
training	講習
training	修行
training	訓練
training	研修
artist	芸術家
artist	アーティスト
word	ワード
word	言葉
word	単語
word	word
blue	青い
blue	ブルー
blue	青色
primary	メイン
primary	プライマリ
value	バリュー
value	価額
christian	クリスチャン
christian	キリスト教
christian	キリスト教徒
private	非公開
private	プライベート
catholic	カトリック
artists	芸術家
artists	アーティスト
includes	含む
view	表示
view	見る
view	ビュー
almost	ほとんど
almost	ほぼ
baseball	ベースボール
baseball	野球
seven	seven
seven	セブン
ever	ever
technology	技術
technology	テクノロジー
olympics	オリンピック
future	フューチャー
future	未来
future	将来
census	国勢調査
images	画像
images	イメージ
los	los
results	結果
return	return
return	リターン
quality	品質
quality	クオリティ
quality	画質
quality	quality
construction	建設
front	フロント
front	表側
front	前面
cover	表紙
cover	被覆
cover	カバー
cover	cover
model	モデル
despite	にもかかわらず
read	読み
read	読み込み
read	読み取り
read	読む
material	素材
material	材料
material	マテリアル
strong	強い
strong	濃い
coach	コーチ
coach	コーチング
henry	ヘンリー
mark	マーク
mark	マルク
rev	rev
organization	団体
organization	組織
studies	研究
richard	リチャード
richard	リヒャルト
html	html
virginia	バージニア
virginia	ヴァージニア
car	自動車
car	クルマ
attack	攻撃
attack	進撃
conference	カンファレンス
conference	会議
study	勉強
brother	兄弟
brother	ブラザー
names	名前
names	名称
writer	作家
writer	ライター
characters	文字
characters	キャラクター
musical	ミュージカル
border	ボーダー
border	国境
medical	医学
countries	国々
past	過去
writing	執筆
writing	書き込み
writing	筆記
makes	makes
interest	利子
interest	利息
medal	メダル
largest	最大
label	ラベル
fair	フェア
search	検索
reference	リファレンス
reference	参照
reference	参考
especially	特に
library	図書館
library	ライブラリ
management	経営
management	マネジメント
management	マネージメント
management	管理
references	参考文献
references	参照
references	リファレンス
features	機能
features	特徴
navy	海軍
navy	ネイビー
guitar	ギター
hill	ヒル
sure	シュア
reading	読書
yet	yet
systems	システム
systems	システムズ
debut	デビュー
movement	ムーブメント
movement	楽章
movement	運動
specific	特定
always	常に
always	いつも
actor	俳優
natural	自然
natural	ナチュラル
clear	クリア
coast	海岸
let	let
let	レット
got	got
chicago	シカゴ
championships	選手権
pennsylvania	ペンシルバニア
ten	テン
ten	ten
individual	個人
individual	個別
rule	ルール
lists	リスト
paris	パリス
paris	パリ
thought	思考
brown	褐色
brown	茶色
brown	ブラウン
hand	ハンド
needs	ニーズ
smith	スミス
base	塩基
base	base
base	ベース
sometimes	時々
sometimes	ときどき
florida	フロリダ
capital	資本
capital	首都
capital	キャピタル
valley	バレー
valley	谷間
bank	バンク
bank	銀行
ground	地面
ground	グラウンド
italy	イタリア
energy	エネルギー
believe	信じる
believe	believe
believe	信ずる
leader	リーダー
active	アクティブ
online	オンライン
block	ブロック
bridge	ブリッジ
changes	変更
industry	業界
industry	産業
collection	コレクション
request	請求
request	リクエスト
soon	soon
soon	まもなく
soon	もうすぐ
sold	落札
writers	作家
professor	教授
studio	スタジオ
mexico	メキシコ
competition	競技
competition	コンペ
competition	競争
competition	コンペティション
competition	コンテスト
campaign	キャンペーン
org	org
theatre	演劇
theatre	劇場
anything	何でも
empire	帝国
empire	帝政
empire	エンパイア
islands	諸島
singer	シンガー
create	作成
soviet	ソビエト
market	市場
market	マーケット
words	言葉
words	単語
producer	プロデューサー
notes	注記
notes	メモ
notes	備考
notes	ノート
hockey	ホッケー
hockey	アイスホッケー
novel	小説
code	コード
code	符号
referee	審判員
sport	スポーツ
van	バン
van	ヴァン
mary	メアリ
mary	メアリー
airport	空港
sound	サウンド
status	近況
status	ステータス
irish	アイリッシュ
child	子供
child	児童
idea	アイデア
idea	観念
idea	アイディア
foreign	外国
municipality	市町村
register	原簿
register	登録
register	レジスタ
eight	eight
eight	エイト
problems	問題
native	ネイティブ
channel	チャネル
channel	チャンネル
channel	海峡
parliament	議会
parliament	国会
edition	edition
edition	エディション
minor	マイナー
foundation	財団
foundation	ファンデーション
foundation	ファウンデーション
units	単位
units	ユニット
movie	映画
movie	ムービー
runs	ジョギング
simply	単に
limited	限定
limited	limited
unit	単位
unit	ユニット
student	生徒
student	学生
governor	知事
complete	コンプリート
complete	完備
test	テスト
bill	ビル
parts	パーツ
parts	部品
vocals	ボーカル
theory	セオリー
theory	理論
account	口座
account	アカウント
vote	投票
computer	コンピューター
computer	コンピュータ
none	なし
carolina	カロライナ
tournament	トーナメント
poland	ポーランド
behind	後ろ
wales	ウェールズ
winning	優勝
winning	勝利
lot	lot
lot	ロット
hospital	病院
mid	mid
mountain	マウンテン
cases	事例
cases	ケース
angeles	angeles
editing	編集
food	食べ物
food	料理
food	食品
multiple	倍数
multiple	複数
terms	規約
terms	用語
sir	サー
square	正方形
square	四角
square	広場
try	try
try	試す
try	トライ
topic	話題
topic	トピック
woman	女性
officer	役員
officer	巡査
categories	カテゴリー
categories	カテゴリ
categories	分類
recent	最近
speed	速度
speed	スピード
templates	テンプレート
money	お金
money	貨幣
money	マネー
money	金銭
senior	先輩
senior	上級
politician	政治家
true	トゥルー
true	true
true	本当
required	必須
regular	レギュラー
commercial	コマーシャル
commercial	商用
commercial	商業
cities	都市
contains	含む
trade	貿易
trade	トレード
trade	取引
degree	学位
anti	アンチ
birth	誕生
sun	太陽
sun	sun
finished	終了
rugby	ラグビー
earth	地球
earth	アース
access	アクセス
seasons	季節
seasons	シーズン
journal	ジャーナル
journal	日記
software	ソフトウエア
software	ソフトウェア
martin	マーティン
martin	マーチン
god	ゴッド
bit	ビット
hours	時間
running	走る
running	ランニング
structure	構造
structure	構成
decision	決断
decision	決定
hit	hit
hit	ヒット
spain	スペイン
whole	全体
joseph	ヨセフ
web	web
web	ウェブ
operations	演算
operations	オペレーション
operations	操作
function	機能
function	関数
louis	ルイス
louis	ルイ
assembly	アセンブリ
assembly	集会
assembly	組み立て
queen	女王
queen	クイーン
security	セキュリティ
security	セキュリティー
ohio	オハイオ
owned	所有
jan	ヤン
operation	運行
operation	作戦
operation	運営
operation	操作
operation	オペレーション
call	通話
call	コール
successful	成功
russia	ロシア
prince	プリンス
mean	平均
mean	意地悪
staff	スタッフ
goal	ゴール
agree	賛成
bad	バッド
bad	悪い
attendance	出席
attendance	傍聴
nature	ネイチャー
nature	自然
captain	隊長
captain	キャプテン
mount	マウント
structures	構造
hard	一生懸命
hard	ハード
hard	難しい
manager	店長
manager	支配人
manager	マネージャー
manager	マネージャ
elections	選挙
meet	meet
meet	会う
box	ボックス
democratic	民主主義
success	サクセス
success	成功
singles	シングルス
rest	安静
rest	休む
highway	ハイウェイ
highway	公道
matter	物質
matter	事柄
particularly	特に
wide	ワイド
month	月間
care	ケア
care	介護
admin	管理者
admin	管理人
commission	手数料
commission	コミッション
commission	委嘱
plan	計画
plan	プラン
therefore	ゆえに
practice	練習
command	指揮
command	コマンド
nomination	指名
jersey	ジャージー
parties	当事者
parties	パーティ
parties	パーティー
michigan	ミシガン
entire	全体
approximately	おおよそ
master	マスター
usa	米国
stop	停止
stop	ストップ
feature	機能
feature	フィーチャー
feature	特徴
engine	エンジン
response	応答
response	レスポンス
illinois	イリノイ
afd	afd
experience	エクスペリエンス
experience	体験
experience	経験
engineering	工学
engineering	エンジニアリング
silver	シルバー
secretary	秘書
dutch	ダッチ
lee	リー
recording	記録
recording	レコーディング
recording	録音
prime	素数
prime	プライム
rules	規則
rules	ルール
youth	青年
youth	若者
youth	ユース
youth	青春
scotland	スコットランド
iii	iii
houses	家屋
heart	心臓
heart	ハート
room	部屋
room	ルーム
stone	ストーン
deal	ディール
deal	クーポン
drama	ドラマ
scores	スコア
dead	デッド
key	キー
key	key
shot	ショット
turn	ターン
turn	曲がる
occupation	占領
occupation	職業
executive	エグゼクティブ
plant	プラント
plant	植物
villages	村落
languages	言語
internet	インターネット
leave	離れる
feel	感じる
feel	feel
feel	フィール
merge	マージ
merge	統合
numerous	多数
ancient	古代
attempt	試み
attempt	未遂
property	プロパティ
property	財産
programs	演目
programs	プログラム
picture	画像
picture	写真
finally	ついに
finally	やっと
finally	遂に
ships	艦船
ships	船舶
fiction	フィクション
majority	過半数
edward	エドワード
annual	年次
digital	デジタル
mission	ミッション
claim	債権
claim	主張
claim	取得
seat	座席
bbc	bbc
profile	プロフィール
profile	プロファイル
dance	ダンス
georgia	グルジア
georgia	ジョージア
port	港湾
port	ポート
pacific	パシフィック
castle	キャッスル
pass	パス
transport	輸送
transport	交通
organizations	団体
ratio	比率
recently	最近
fall	落ちる
fall	落下
global	global
global	グローバル
era	時代
wing	ウイング
opinion	意見
commander	司令官
fort	フォート
fort	要塞
effect	エフェクト
effect	効果
opening	開く
opening	オープニング
purpose	目的
overall	全体
activities	アクティビティ
activities	活動
met	met
income	収入
income	所得
massachusetts	マサチューセッツ
peak	山頂
peak	ピーク
lack	欠如
lack	不足
bass	バス
bass	ベース
super	スーパー
complex	コンプレックス
complex	錯体
complex	複雑
academic	アカデミック
stars	stars
stars	スターズ
accounts	アカウント
appearance	出演
appearance	外観
friends	友だち
friends	友達
kind	親切
till	まで
entry	エントリー
entry	エントリ
asia	アジア
sense	センス
sense	感覚
meaning	意味
actress	女優
actress	俳優
map	地図
map	マップ
bishop	ビショップ
boston	ボストン
rate	レート
rate	評価
literature	文学
literature	文芸
forest	フォレスト
forest	森林
voice	ボイス
voice	音声
jack	ジャック
jack	ジャッキ
pre	pre
justice	正義
champion	チャンピオン
double	ダブル
double	二重
numbers	数字
numbers	数値
columbia	コロンビア
temple	テンプル
temple	寺院
temple	神殿
claims	債権
jones	ジョーンズ
parish	教区
israel	イスラエル
actors	俳優
sister	姉妹
sister	シスター
nine	nine
table	テーブル
pop	ポップ
pop	pop
else	else
newspaper	新聞紙
newspaper	新聞
friend	友人
friend	友だち
friend	フレンド
friend	友達
unknown	不明
winner	勝者
winner	ウィナー
chart	チャート
initially	当初
loss	損失
loss	喪失
sites	サイト
architecture	アーキテクチャ
architecture	建築
relations	リレーション
relations	関係
tracks	トラック
contract	契約
face	フェイス
directly	直接
girl	ガール
girl	少女
girl	女の子
junior	ジュニア
politics	政治
presented	提示
mar	mar
cause	原因
volume	音量
volume	ボリューム
volume	体積
flight	フライト
flight	飛行
candidate	候補者
candidate	候補
passed	合格
matches	マッチ
matches	一致
oil	石油
oil	オイル
assistant	助手
assistant	アシスタント
surface	表面
surface	曲面
victory	勝利
regiment	連隊
stories	記事
stories	ストーリー
speedy	スピーディー
weeks	週間
listing	出品
allow	許可
branch	支店
branch	支社
branch	ブランチ
branch	支部
retired	退職
retired	引退
communities	コミュニティ
train	電車
train	列車
train	トレイン
paper	用紙
paper	ペーパー
victoria	ビクトリア
victoria	ヴィクトリア
metal	メタル
metal	金属
direct	ダイレクト
frank	フランク
miles	マイル
mass	ミサ
mass	質量
chairman	会長
chairman	議長
comedy	喜劇
comedy	コメディ
comedy	コメディー
relationship	リレーションシップ
relationship	交際
knowledge	知識
format	フォーマット
format	書式
creek	クリーク
meeting	ミーティング
meeting	会議
failed	失敗
officers	役員
draft	ドラフト
draft	下書き
goes	goes
fight	ファイト
figure	フィギュア
faculty	学部
faculty	教職員
camp	camp
camp	キャンプ
variety	品種
variety	バラエティ
variety	変種
owner	オーナー
owner	所有者
statistics	統計
heavy	重い
heavy	ヘビー
alexander	アレクサンドロス
alexander	アレクサンダー
alexander	アレキサンダー
episodes	エピソード
daily	デイリー
williams	ウィリアムズ
latin	ラテン語
latin	ラテン
products	プロダクト
products	商品
products	製品
dark	ダーク
dark	暗い
attention	注目
attention	注意
religion	宗教
mind	mind
mind	マインド
corps	軍団
cut	cut
cut	カット
cut	切り取り
scott	スコット
jean	ジャン
jean	ジーン
mayor	町長
mayor	市長
pro	プロ
pro	pro
beach	ビーチ
beach	砂浜
descent	降下
nearly	ほぼ
latter	後者
leaving	去る
cast	出演
cast	キャスト
cast	ギプス
territory	縄張り
write	書き込み
write	書く
write	書き込む
towns	タウンズ
forms	フォーム
forms	形態
joe	ジョー
inside	インサイド
wanted	wanted
wanted	求む
solid	固体
individuals	個人
authority	権威
authority	権限
authority	職権
mention	言及
projects	プロジェクト
del	del
del	デル
continue	続行
continue	continue
continue	続ける
cost	費用
cost	原価
cost	コスト
vice	バイス
drive	ドライブ
notice	告示
notice	通知
notice	告知
johnson	ジョンソン
basis	基底
reasons	理由
job	職業
job	仕事
job	ジョブ
photo	フォト
photo	写真
hope	ホープ
hope	希望
log	ログ
log	log
parents	両親
parents	保護者
mike	マイク
basic	基本
basic	ベーシック
basic	basic
amount	金額
spring	スプリング
oxford	オックスフォード
kong	コング
opera	opera
opera	オペラ
critical	クリティカル
simple	シンプル
simple	簡単
simple	単純
founder	創始者
founder	開祖
hong	ホン
husband	ダンナ
husband	主人
husband	旦那
useful	役に立つ
technical	テクニカル
mountains	山地
mountains	山脈
musicians	ミュージシャン
hotel	ホテル
girls	ガールズ
crew	クルー
boy	男の子
boy	少年
boy	ボーイ
ontario	オンタリオ
nation	ネーション
nation	国民
defense	ディフェンス
defense	防御
defense	抗弁
defense	防衛
wiki	wiki
wiki	ウィキ
champions	チャンピオンズ
champions	チャンピオン
golden	ゴールデン
golden	黄金
districts	ディストリクト
faith	信仰
faith	信念
faith	フェイス
racing	競走
racing	レース
racing	レーシング
mainly	主に
auto	自動
auto	オート
hot	熱い
hot	ホット
hot	暑い
entertainment	エンターテイメント
entertainment	娯楽
entertainment	エンターテインメント
net	net
net	ネット
soccer	サッカー
creation	創造
creation	作成
product	製品
product	プロダクト
tower	タワー
squadron	戦隊
contemporary	現代
focus	焦点
focus	フォーカス
marriage	結婚
marriage	婚姻
questions	質問
details	詳細
forward	進む
forward	フォワード
forward	転送
memorial	追悼
memorial	記念碑
peace	ピース
peace	平和
iran	イラン
korea	朝鮮
korea	韓国
analysis	分析
analysis	解析
winners	勝者
poor	かわいそう
grade	学年
grade	グレード
cricket	クリケット
cricket	コオロギ
judge	ジャッジ
judge	裁判官
electric	エレクトリック
electric	電気
corporation	コーポレーション
hold	ホールド
campus	キャンパス
brazil	ブラジル
beyond	ビヨンド
fifth	フィフス
increase	増加
increase	増額
increase	増やす
summary	概説
summary	概略
summary	まとめ
summary	概要
summary	要約
remaining	残り
remaining	残額
statement	ステートメント
statement	声明
broadcast	放送
broadcast	配信
broadcast	ブロードキャスト
piano	ピアノ
des	des
novels	小説
serving	給仕
hour	時間
moving	引越し
moving	移動
resolution	解像度
concept	概念
concept	コンセプト
alternative	オルタナティブ
alternative	代替
brothers	兄弟
brothers	ブラザーズ
attacks	攻撃
politicians	政治家
difficult	難しい
ability	能力
host	ホスト
host	主催
wall	ウォール
immediately	直ちに
urban	アーバン
pakistan	パキスタン
marine	マリン
physical	フィジカル
physical	物理
dec	dec
interview	面接
interview	インタビュー
coming	来る
coming	カミング
suggest	提案
emperor	エンペラー
emperor	皇帝
emperor	天皇
letter	手紙
letter	letter
letter	レター
couple	カップル
duke	公爵
duke	デューク
gallery	ギャラリー
follow	フォロー
windows	windows
tree	ツリー
hits	ヒット
jazz	ジャズ
protection	保護
relevant	関連
count	カウント
situation	状況
situation	シチュエーション
reviews	レビュー
classical	クラシカル
classical	クラシック
classical	古典
lady	レディ
netherlands	オランダ
reports	レポート
reports	報告
influence	影響力
influence	影響
address	アドレス
address	住所
linear	リニア
linear	線形
machine	マシン
machine	マシーン
machine	機械
domain	ドメイン
elements	要素
elements	元素
elements	エレメント
minnesota	ミネソタ
types	種類
nov	nov
serve	サーブ
sydney	シドニー
blood	血液
blood	ブラッド
distance	距離
bottom	ボトム
boys	boys
boys	男の子
potential	ポテンシャル
toronto	トロント
infantry	歩兵
jun	jun
jun	じゅん
formerly	以前
conflict	競合
conflict	紛争
conflict	対立
conflict	コンフリクト
steve	スティーブ
steve	スティーヴ
philadelphia	フィラデルフィア
der	デア
nationality	国籍
dispute	申し立て
scene	現場
scene	シーン
scene	場面
method	方法
