and и
record запись
record рекорд
record записать
record записывать
archive архив
places места
places местами
undo отменить
undo отмена
cup чашка
cup чаша
cup кубок
cup cup
records records
records рекорды
records записи
often нередко
often часто
often зачастую
few немногим
few немногие
few немногих
received получено
received получен
received полученная
received полученные
received получены
side сторона
side стороне
power власть
power сила
power мощь
power power
power мощность
education просвещение
education образование
know знай
know знать
category категория
category категории
water вода
water воды
water воду
political политических
political политическая
political политический
species видов
species виды
species вид
field поля
field филд
field поле
near вблизи
near рядом
near близко
australia австралия
australia австралии
video video
video видео
need нужно
need нужна
need потребность
island острова
island island
island остров
island островных
form форме
form форма
form бланк
form формуляр
form форму
find найдите
find найди
find найти
served служил
served служили
play play
play играть
play играйте
play играй
project project
project проекта
project проект
radio radio
radio радио
works работает
proposed предлагаемые
proposed предлагаемая
every каждая
every каждую
every каждый
every каждое
development развитие
development разработка
example пример
live живи
live живите
live live
live живу
live жить
union союз
union union
union профсоюз
union юнион
union союза
india индию
india индия
india индии
next далее
next следующий
next следующая
next next
special особая
special специальный
special специального
special специальная
special специальные
special специальное
court корт
court суд
region область
region регион
little little
little маленький
little маленькая
little мало
little маленькие
short короткая
short короткий
short короткое
short короткие
short коротко
william уильям
william вильям
william вильгельм
province область
province провинция
western западная
western западные
western западной
western западный
western западное
son сынок
son сын
france франции
france франс
france франция
france france
council совет
council совета
others другие
others прочие
royal королевские
royal королевский
royal royal
royal королевской
royal королевская
current текущий
current текущее
current нынешней
current текущие
current текущая
street улица
street street
full полный
full полные
full полное
full полного
full полная
red красные
red красная
red красный
red красное
red красного
red red
too слишком
too тоже
department департамент
san san
san сан
help помогите
help помощь
help помочь
help справка
among среди
james джеймс
open открыть
open открытый
open открыто
open open
open открытая
force усилие
force силы
force сила
force force
force силу
position позиция
position должность
position положение
head head
head головка
head голова
head голову
director режиссер
director режиссёр
director директор
father отче
father отец
track трек
track дорожка
track трека
http http
canada canada
canada канаду
canada канада
never никогда
never never
australian австралийский
australian австралийская
australian австралии
george георг
george джордж
george георгий
jpg jpg
level уровень
level уровня
level level
late опаздывает
late поздний
late поздно
late опоздал
summer лето
summer summer
summer саммер
summer летний
society общество
society общества
moved переехал
moved перенесено
office кабинет
office канцелярия
office офис
period период
championship чемпионат
round круглая
round круглые
round раунд
story story
story новость
story рассказ
story история
songs песни
songs songs
various различных
various различные
file файл
days дни
days days
days дней
land земли
land земельный
land land
land земля
business business
business бизнес
reason причина
america america
america америка
million миллионов
million миллион
million млн
million миллиона
european европейская
european европейского
european европейское
european европейский
term термин
six шесть
six six
six шестеро
six шестой
post публикация
post post
post опубликовать
post пост
why зачем
why почему
produced произведенные
produced произведено
making изготовление
subject предмет
subject субъект
subject объект
subject тема
young янг
young молодая
young молодые
young young
young молодых
young молодой
total всего
total итого
david дэвид
david давид
science наука
science науки
related связанные
rock скала
rock камень
rock рок
rock rock
archived архив
railway железнодорожных
railway железнодорожный
become стать
become стань
led led
students учащиеся
students ученики
students студентов
students студенты
started начали
started начато
started начал
started началось
news news
news новость
news новости
described описано
described описал
described описаны
described описанные
role роль
role роли
election выборы
election избрание
albums альбомы
present настоящее
present подарок
indian индийская
indian индеец
indian индии
indian индийский
kingdom царство
kingdom королевство
books книг
books книги
important важная
important важно
important важных
important важное
important важные
important важны
northern северный
northern северная
northern северные
northern северное
northern северной
love любить
love love
love люблю
love любовь
love любим
run запустить
run беги
canadian канадский
canadian канадская
canadian канадские
canadian канады
press печати
press пресса
press пресс
press нажмите
press press
press нажать
type type
type тип
act акт
editor редактора
editor редактор
came пришла
came пришел
came пришёл
schools школ
schools школы
program программа
once однажды
once раз
issue вопрос
issue выпуск
issue проблема
social социальное
social социального
social социальный
social социальная
social социальные
germany германия
germany германию
germany германии
production производство
production производства
male мужской
male мужчина
male самец
male мужские
awards awards
awards награды
points точек
points точки
points очки
points очков
similar аналогичная
similar похожие
similar аналогичное
similar аналогичные
similar схожие
professional профессиональное
professional professional
professional профессиональная
professional профессионал
say скажи
say скажем
say скажите
say сказать
background фон
background справочный
enough хватит
enough достаточно
lead свинца
lead свинец
lead ведущая
lead ведущие
either либо
common общих
common общие
common общая
overlap наложение
overlap дублирования
overlap дублирование
data данные
data данных
data data
color цвет
color цвета
better лучше
better получше
person человек
services услуг
services услуги
services обслуживание
services службы
bgcolor bgcolor
museum музей
battle битва
battle бой
battle сражение
went пошла
sports спортивные
sports спорт
sports спортивная
sports sports
already уже
hall зал
hall hall
hall холл
buildings зданий
buildings здания
historic исторические
historic историческое
historic историческая
historic исторический
historic исторической
date свидание
date дата
deleted удаленные
deleted исключен
deleted удалена
deleted удалено
considered рассмотрел
change перемены
change изменение
change изменения
change изменить
change сменить
location местоположение
location расположение
location местонахождение
location место
seems кажется
must должен
must должно
must должны
yes да
our наши
our наше
our наш
our наша
southern южные
southern южная
southern южный
southern южной
southern южное
least наименьшее
least наименее
lost потерянный
lost потеряна
lost потерял
lost потерян
lost проиграл
review обзор
review обзора
review рассмотрение
review пересмотреть
together вместе
robert роберт
robert робер
fact факт
less меньше
less менее
japanese японские
japanese японская
japanese японский
japanese японцы
japanese японское
japanese японии
groups группы
groups групп
content содержимое
content контент
content материалы
involved вовлечены
isbn isbn
board доска
board правление
japan japan
japan японии
japan япония
control контроля
control контроль
control управление
policy политика
modern современный
modern современных
modern современная
modern современные
modern современное
human человеческое
human человеческая
human человек
human человека
half половины
half половина
half половину
half наполовину
design design
design конструкция
design проектирование
design дизайн
event мероприятие
event событие
events события
events мероприятия
available доступно
available доступные
available доступны
available доступен
available имеющихся
done сделано
washington вашингтон
real real
real настоящий
real настоящие
real настоящая
real реальные
start начинайте
start начать
start начало
start старт
personal личная
personal личные
personal личное
personal личного
personal личный
action меры
action действий
action действие
action действия
action акция
space пространство
space космической
space космос
space space
areas районы
areas области
star star
star звезда
star стар
really реально
really действительно
china china
china китай
possible возможная
possible возможна
possible возможно
possible возможен
paul павел
paul пол
paul пауль
paul поль
working работа
working работаем
working рабочий
working рабочей
taken принято
taken принятых
taken взяты
far далеко
going едем
going иду
minister министр
minister министра
lake озеро
lake лейк
reported сообщалось
reported сообщено
reported сообщается
reported сообщил
reported сообщили
popular популярная
popular популярных
popular популярный
popular популярное
popular популярные
married женился
married женаты
married замужем
married женат
founded основанное
founded основано
founded основанная
founded основана
founded основанный
founded основан
europe europe
europe европу
europe европа
europe европы
author автор
away подальше
away прочь
independent независимый
independent независимая
independent независимое
independent независимые
process процесса
process процесс
teams команды
character характер
character персонаж
character символ
low низко
low низкий
low низкая
low низким
low низкое
michael майкл
michael michael
michael михаэль
michael михаил
pages страницы
pages страниц
light light
light свет
light света
light светло
big большая
big big
big большие
big большой
big биг
seen видел
seen видели
release освободить
release освобождения
release релиз
release освобождение
want хотеть
want хочу
want хочешь
episode серия
episode эпизод
wrote писал
wrote написала
wrote написали
wrote написал
republic республика
republic республики
thomas томас
thomas тома
thomas томаса
companies компаниям
companies компании
companies компаний
via виа
via via
via через
russian русская
russian русские
russian российская
russian русский
thanks спасибо
put поставить
race гонки
race гонка
race расы
race раса
worked работал
worked работала
worked сработало
worked работали
route маршрут
route трасса
recorded записано
recorded записали
civil гражданская
civil гражданского
civil гражданские
civil гражданское
civil гражданский
police полицейские
police полиции
police полиция
police полицейский
charles шарль
charles чарльз
listed перечисленные
listed перечисленных
listed перечислены
users пользователей
users пользователи
template шаблон
instead вместо
eastern восточные
eastern восточная
eastern восточной
eastern восточное
body body
body тела
body тело
question вопрос
italian итальянское
italian итальянский
italian итальянцы
italian итальянские
italian итальянская
italian италии
featured выделенные
featured актуальное
featured рекомендуемые
featured избранные
week недели
week неделю
week неделя
editors редакторов
texas техас
chief шеф
chief начальник
chief вождь
close закрыть
close близко
close закройте
match матч
match совпадение
roman римская
roman роман
come приходите
come приходи
opened открыл
opened открыли
opened открыт
tour tour
tour тур
tour гастроли
sea моря
sea море
sea sea
cross кросс
cross крест
cross креста
playing играю
playing играет
health здоровья
health здоровье
health здравоохранения
health здравоохранение
institute институт
forces силы
forces сил
green зелёные
green зелень
green зелёный
green зелёная
green зеленый
rights права
rights прав
evidence доказательств
evidence доказательства
evidence доказательство
evidence улики
evidence улика
originally изначально
originally первоначально
aircraft авиация
aircraft самолет
aircraft самолеты
aircraft самолёт
aircraft самолета
arts arts
arts искусство
range дальность
range диапазон
probably возможно
probably вероятно
consensus консенсус
consensus консенсуса
bar бар
problem проблемы
problem проблема
look посмотри
look смотрите
look смотри
look посмотрите
issues вопросы
issues проблемы
alumni выпускники
alumni выпускников
average средняя
average средний
average среднее
network сеть
network сети
network network
win победить
win выиграть
win победа
shows показывает
wife жене
wife жена
wife жены
returned вернулся
returned возвращено
night ночи
night ночь
night ночное
night night
magazine журнал
magazine magazine
centre центр
joined присоединилась
joined присоединился
joined присоединились
joined вступила
usually обычно
middle средняя
middle ближнем
middle средний
middle среднее
completed завершил
completed завершено
completed завершен
completed завершена
elected избранный
elected избрана
elected избран
elected избранные
significant существенное
significant значительные
significant значительное
significant значительный
significant существенные
african африканский
african африканского
african африканские
african африканская
able способный
google google
stage ступень
stage этап
stage стадия
stage этапе
ireland ирландию
ireland ирландия
ireland ирландии
today сегодня
today today
academy академии
academy академия
saint святой
saint сен
saint сент
saint святая
continued продолжил
continued продолжение
stations станций
stations станции
mother мать
mother мама
mother матерь
mother матушка
appeared появилась
appeared появился
africa африка
culture культура
spanish испанская
spanish испанский
grand гран
grand штук
grand гранд
grand grand
committee комитет
committee комитета
things вещи
fire fire
fire пожар
fire огонь
changed изменились
changed изменилась
changed изменился
changed изменил
changed изменилось
changed изменено
gold золотой
gold золотая
gold gold
gold золото
gold золотые
female женское
female женщины
female женский
female женская
female женщина
course курс
directed направленное
directed направленный
directed направлены
months месяца
months месяцы
months месяцев
chinese китайская
chinese китайское
chinese китайцы
chinese китайский
chinese китая
previous предыдущие
previous предыдущая
previous предыдущий
previous предыдущее
developed развитые
developed разработан
developed разработано
developed развитых
size размеры
size размер
mentioned упомянутых
mentioned упоминалось
mentioned упомянул
mentioned упомянула
mentioned упомянули
add добавить
add добавьте
festival festival
festival фестиваль
peter петр
peter питер
peter петер
peter пётр
basketball баскетбол
move двигаться
move переместить
move ход
performance исполнение
performance производительность
standard стандартные
standard стандарт
standard стандартная
standard стандартный
standard standard
means означает
give отдать
give дать
give дай
give дайте
training подготовка
training подготовки
training обучение
training тренинг
artist исполнитель
artist художник
artist артист
artist artist
word слово
word word
blue синий
blue blue
blue синие
blue голубые
blue голубой
primary начального
primary первичные
primary начальное
announced объявлено
announced объявили
announced объявил
announced объявленные
announced объявила
value ценность
value значение
value величина
value стоимость
christian кристиан
christian христианин
christian христиане
christian христианство
christian христиан
private частное
private частный
private частная
private частного
private личное
private частные
catholic католической
catholic католик
catholic католическая
catholic католики
artists художники
artists артисты
artists художников
artists исполнители
includes включает
view посмотреть
view просмотр
view просмотреть
view вид
almost практически
almost почти
baseball бейсбол
seven seven
seven семь
seven седьмая
appears появляется
technology технология
technology техника
technology технологии
future будущее
future будущий
future будущая
future будущие
formed сформированных
formed сформирован
formed сформировали
formed сформированные
formed сформирована
census переписи
census перепись
images картинки
images изображения
images образы
los los
los лос
results результаты
results результат
return возвращения
return возврат
return вернуть
return вернуться
return возвращение
quality качество
construction конструкция
construction строительство
zealand зеландии
front передние
front передняя
front фронт
cover обложки
cover прикрытие
cover обложка
cover обложку
cover покрытия
model модели
model образец
model model
model модель
read читайте
read читай
read прочитать
read прочесть
read читать
material материал
material материалы
strong сильный
strong сильная
strong сильные
strong сильна
strong сильное
coach тренер
henry генрих
henry анри
henry генри
footballers футболисты
mark марк
mark mark
mark отметить
mark метка
mark марка
rev rev
organization организации
organization организация
studies исследований
studies исследования
federal федеральное
federal федеральные
federal федерального
federal федеральный
federal федеральная
richard ричард
html html
virginia вирджиния
car машину
car автомобиль
car car
car вагон
car машина
attack нападение
attack атака
attack атаковать
attack атаку
conference конференция
conference конференцию
conference конференции
outside снаружи
outside вне
study изучение
study исследование
brother братец
brother брат
names названия
names имена
writer писатель
writer сценарист
characters символов
characters персонажей
characters символы
characters персонажи
musical музыкальные
musical музыкальная
musical мюзикл
nothing ничего
nothing ничто
border граница
border границы
border границу
medical медицинская
medical медицинских
medical медицинское
medical медицинский
countries стран
countries страны
past прошлое
past прошедшее
past прошлом
past прошлые
writing пишу
writing написание
writing писать
makes делает
interest проценты
interest интерес
interest заинтересованность
interest интересы
killed убиты
killed убита
killed убил
killed убит
medal медаль
signed подпись
signed подписано
signed подписан
signed подписана
signed подписаны
largest крупнейшие
largest крупнейший
largest наибольшая
largest крупнейших
label ярлык
label лейбл
label метка
fair справедливый
fair справедливо
fair ярмарка
fair справедливая
fair справедливых
search поиск
search искать
search ищите
bay бей
bay бэй
bay залив
bay bay
reference ссылка
especially особенно
removed удален
removed удаляется
removed удалена
removed удалены
removed удалено
library библиотеки
