day	دن
crowd	مجمع
crown	تاج
crude	ان گھڑ
ravine	خشک نالہ
ravin	شکار
Geneva Conventions	معاہدہ جنیوا
gesture	اشارہ
get	پانا
gesticulate	ہاتھ ہلا ہلا کر بات کرنا
Merry Christmas	کرسمس مبارک
downright	کھلا کھلا
downright	سیدھا
downright	پورا
downright	بالکل
downplay	اہمیت کم کرنا
downpayment	پیشگی
Kama Sutra	کاما سترا
urine	پیشاب
urine	موت
urine	موتر
gibe	غبن کرنا
gibe	چوٹ کسنا
gibble gabble	بڑبڑ
gibbet	سولی
gibbous	کبڑا
gibbon	ہن دستانی بن در
gibberish	بڑبڑ
gibberish	اول فول
gibbet	دار
gibberish	بکواس
London	لندن
cut	کاٹنا
crack	چیر
kind hearted	نرم خو
kind hearted	فیاض
kind hearted	شفیق
kind hearted	مہربان
then	پس
betel	پان
file replication service	فائل کی نقل رکھنے کی خدمت
fish	ماہی
fish	متسیہ
fish	مچھلی
Lithuania	لیتھوینیا
Mexico	میکسیکو
vileness	قباحت
vileness	پاجی پن
groan	بہت اذیت میں ہونا
groan	ہائے ہائے کرنا
tattletale	غماذ
neckkerchief	گلبند
watt	واٹ
Black Sea	بحیرہ اسود
circle	پھیرا
circle	پھیر
circle	پیٹا
circle	کنڈل
circle	حلقہ
circle	دائرہ
circle	علاقہ
cipher	صفر
cipher	نقطہ
cinnamon	دار چینی
Switzerland	سوئٹزرلین
hesitance	تذبذب
hesitance	تردد
nominal	فرضی
nominal	برائے نام
nomenclature	ناموں کی فہرست
nomenclature	اسم بندی
nominal	آٹے میں نمک
nomenclature	نظام تسمیہ
KB article	۔KB آرٹیکل
KB	KB
KB	KB
KB	KB
straight ruler	اسٹریٹ رولر
GN	GN
Go	جائیں
glyph	گلیف
distinct	واضح
distinct	جدا
distinct	بیان
distinct	عیاں
distinct	علاحدہ
distinct	کھلا کھلا
distinct	خاص
fast	جلدی
plough	ہل چلانا
surname	خاندانی نام
aggression	حملہ
aggression	جارحیت
aggregation	مجمع
real	حقیقت
Peter Mansfield	سر پیٹر مینسفیلڈ
Johann Heinrich Pestalozzi	پستالوزی
treble	تین گنا
Solomon Islands	سولومن آئلینڈز
sizing handle	سائز کار ہینڈل
skewed fraction	ترچھی کسر
Papua New Guinea	پاپوآ نیو گنی
cement	سیمنٹ
drink	پینا
bias	جانب داری
bias	رعایت
trump	ٹنگڑی لگانا
universally unique identifier	عالمی منفرد نشان کار
haik	حایک
At-Tawba	التوبہ
craven	بے دم
craven	بزدل
crave	چاہت کرنا
crave	آشتیاق کرنا
crate	چھابا
crate	کھوکھا
crass	کھردرا
crass	موٹا
craven	ہارا ہوا
craven	مریل
little	کچھ
little	قدر قلیل
little	قلیل
little	تھوڑا
little	معمولی
little	ننہا
little	خرد
little	کچک
little	تھوڑا سا
little	ذرا سا
question mark	سوالیہ نشان
town	شہر
let	گزرنے یا جانے کی اجازت دینا
let	رخصت دینا
let	کرنے دینا
each	ہر
landmark	حد بندی
landlord	زمین دار
landmark	سرحدی نشان
landmark	امتیازی نشان
landmine	بارودی سرنگ
landmass	مٹی کا پشتارا
landowner	زمین کا مالک
landowner	زمین دار
landscape	نظارہ
landscape	ارضی منظر
tincture	رنگ
tinct	رنگنا
tinct	رنگ
tin pot	خسیس
timorous	خائف
timidity	ڈر پوکی
cricket	کرکٹ
give	دینا
musk	مشک
reporter	اخباری نمائندہ
reporter	راوی
repose	آرام
repose	بلا حرکت ہونا
guaranty	ضمانت
guard	حفاظت کرنا
so	تو
omissible	قابل نظر اندازی
omission	بھول
olio	پچ میل
olive	زیتون
olive branch	امن کی نشانی
olive oil	ذیتوں کا تیل
omen	علامت
omen	فال
omen	شگون
ominous	نحس
atom	جوہر
watch	پاسبانی
watch	پہرا
watch	نگہبانی
watch	گھڑی
watch	حفاظت
milk	دودھ
root folder	اساسی پوشہ
root element	روٹ عنصر
root directory	اساسی ڈائریکٹری
band	پٹی
bamboozle	جھانسا دینا
bamboozle	دھوکا دینا
bamboozler	دم دینے والا
bamboozler	بتتا دینے والا
ban	لعنت
bamboozler	فریبی
banana	کیلا
ban	قدغن
Surinamese dollars	سورینامی ڈالر
South Sudanese Pound	جنوبی سوڈانی پاؤنڈ
Somali shillings	صومالی شلنگ
Surinamese dollar	سورینامی ڈالر
Surinamese Dollar	سورینامی ڈالر
South Sudanese pounds	جنوبی سوڈانی پاؤنڈز
South Sudanese pound	جنوبی سوڈانی پاؤنڈ
shilajit	سلاجیت
ninth	نوان
ninefold	نو گنا
nine	نو
nincompoop	کوڑہ مغز
nincompoop	گاؤدی
nincompoop	بدھو
nincompoop	بے وقوف
nimiety	زیادتی
nimiety	تجاوز
nimiety	کثرت
speedboat	انجن والی کشتی
horizontal traffic light	افقی ٹریفک لائٹ
railway track	ریلوے ٹریک
police car’s light	پولیس کار کی لائٹ
sailboat	بادبانی کشتی
rowboat	چپوؤں والی کشتی
construction	تعمیر
dispense	باٹنا
Djibouti	جبوتی
be	ہونا
Italy	اٹلی
Pervez Musharraf	پرويز مشرف
doghouse	کلبہ
hovel	کلبہ
jeryhouse	کلبہ
ramshackle hut	کلبہ
line	قطار
sort	چھانٹ
sort order	چھانٹ ترتیب
sorting	چھانٹ
sound card	آواز کارڈ
judo	جوڈو
Belorussia	بیلارس
Belarus	بیلارس
Israel Daylight Time	اسرائیل ڈے لائٹ ٹائم
Israel Standard Time	اسرائیل کا معیاری وقت
Japan Standard Time	جاپان سٹینڈرڈ ٹائم
Japan Time	جاپان ٹائم
Irkutsk Standard Time	ارکتسک سٹینڈرڈ ٹائم
Irkutsk Time	ارکتسک ٹائم
Israel Time	اسرائیل کا وقت
Irkutsk Summer Time	ارکتسک سمر ٹائم
East Kazakhstan Time	مشرقی قزاخستان کا وقت
Japan Daylight Time	جاپان ڈے لائٹ ٹائم
pot	توا
Rhine	دریائے رائن
Colombia	کولمبیا
departing	فراق
department	ادارہ
depart	روانہ ہونا
depart	وداع ہونا
departed	روانہ
Ankara	انقرہ
cacao	کوکو
target	ہدف بنانا
ween	فرض کرنا
weekly	ہفتہ وار
Benito Mussolini	بینیتو موزولینی
urethra	موترمارگ
accordance	اتفاق
accord	سمجھوتہ
ignorance	اگیان
capital city	دارالخلافہ
labyrinth	پیچیدگی
labyrinth	بھول بھلیان
labouring	مجاہد
labourer	قلی
lac	لاکھ
labyrinthine	پیچیدہ
labyrinth	عقدہ
labyrinth	الجھن
lace	گوٹا کناری
lace	فیتہ
unbounded	بے انت
unbounded	بے پایان
unbounded	غیر محدود
unbowed	غیر خمیدہ
unbrace	ڈھیلا کرنا
unbraid	بال یا چوٹی کا الگ الگ کرنا
mummy	اماں
ad infinitum	نا انتہا
ad interim	وقتی طور پر
ad hominem	کسی کے لے
ad infinitum	ابدی
ad infinitum	دائمی
acuteness	ذکاوت
à demi	آدھا
ad hoc	اس خاص مقصد کے لئے
unreasonable	بے تکا
unreason	دیوانگی
text processor	لفظی عملکار
word processor	لفظی عملکار
grandchild	نواسی
grandchild	پوتا
grand	قابل احترام
grand	صدر
grand	شان دار
grandchild	نواسا
grand	عظیم اش شان
grand	با عظمت
grand	نفیس
grand	نمائشی
collate	مقابلہ کرنا
collar	طوق
collapse	ہمت ہارنا
Third World	تیسری دنیا
US$	$
$	$
Myanmar	میانمار
Burma	میانمار
address	پتہ
uneasy	مضطرب
uneducated	ان پڑھ
plate	پلیٹ
though	حالان کہ
though	گو کہ
though	باوجود
though	مبادا
though	گو کہ
though	اگر چہ
thou	تو
those	وہ
thought	دھیان
thought	اندیشہ
France	فرانس
death	مرت
death	مرگ
death	موت
raven	پہاڑی کوا
ravin	لوٹ مار
ravenous	ندیدہ
ravenous	لٹیرا
ravenous	حریص
foot	پیر
unzip	"ذپ" کھولنا
unyielding	کڑا
unwrapping	افشائ
unwrap	افشا کرنا
unworthy	نا قابل
unworthy	نا لائق
debate	مناظرہ
debauch	بگاڑنا
debauch	للچانا
debauchee	عیاش
debasement	ذلت
debate	بحث
debate	استدلال
debate	مباحثہ
debauchery	عیاشی
debauchery	فجور
Indian	ہندوستانی
magnate	عظیم
magnate	امیر
magnate	بڑا آدمی
magnate	کبیر
magnanimity	کلیجہ
magnanimity	شرف ال نفس
magnanimous	بلند نظر
magnanimous	شریف ال نفس
magnate	رئس
magnate	وجیہ
validation	جواز دہی
neighbor	پڑوس
domestic help	اوپر کا کام
domestic feud	خانہ جنگی
domestic	پالتو
domestic	خانگی
domestic	دیسی
domestic	داخلی
Nepal	نیپال
glitter	جھلکنا
glitter	دمکنا
glisten	جھلکنا
glissade	پھسلنا
glitter	چمکنا
glitch	نقص
glint	چمکنا
glimpse	ہلکی سی جھلک دیکھنا
glissade	برف پر پھسلنا
glint	چمک
Kurdistan	کردستان
disjoint	اکھاڑنا
disjoined	کٹا ہوا
factory	کار خانہ
factor	عنصر
factor	کار پرداذ
factor	عمل
facts	صورتحال
facts	معلومات
factotum	نوکر
factotum	خادم
faculty	قوت
faculty	مادہ
Mexico	میکسیکو
non productive	غیر پیدا واری
ballad	گانا
ballad	گیت
ballad	گیتا
birdsong	گانا
birdsong	گیت
birdsong	گیتا
chanson	گانا
chanson	گیت
chanson	گیتا
song	گانا
song	گیت
song	گیتا
terrace chant	گانا
terrace chant	گیت
terrace chant	گیتا
country	دار
countless	بے شمار
Cyprus	قبرص
downstairs	نچلی منزل
downright	صاف
downpour	موسلا دھار بارش
downplay	وقعت کم کرنا
Fiza	فیزا
as follows	حسب ذیل
as far as	حتتا
as below	ذیل میں
as	تیسا
as	جون
as	جیسا
as	بہ طور
Aryan	اریائ
as long as	جون جون
as follows	ذیل میں
Juhi Chawla	جُوہی چاولا
Nile	نیل
Danube	ڈینیوب
Brahmaputra	برہم‌پترہ
Ganges	گنگا
Euphrates	فرات
halva	حلوہ
Ajay	اَجے
Canada	کینیڈا
mightily	اذ بس
mighty	طاقت ور
Karak District	کرک
despite	شدید نفرت
despite	باوجود
despite	باوجود یہ کہ
courage	ساہس
Beantown	میساچوسٹس
Chaubunagungamaug	میساچوسٹس
cummingtonite	میساچوسٹس
laptop PC	لیپ ٹاپ PC
large organization	بڑی تنظیم
Assam	آسام
drowned	غریق
drowsy	شل
drowsy	خواب آلودہ
drown	غرق ہونا
drown	ڈوبنا
drowned	غرق آب
drowned	ڈوبا
Al Hillah	حلہ
Punjabi	[[پنجابی زبان]]
wall	فصیل
chromium	کرومیم
smut	غلیظ گفتگو
smut	کالا دھبہ
smut	کالک
snake charmer	مداری
snake charmer	سپیرا
grind	پیسنا
break	توڑنا
safe list collection	محفوظ فہرست کا ذخیرہ کرنا
Safe Senders List	محفوظ مرسلہ فہرست
Safe Recipients List	محفوظ وصولندگان فہرست
Sheikh Lotf Allah Mosque	شیخ لطف اللہ مسجد
Zephaniah	صفنیاہ
Haggai	حجی
Tanakh	تنخ
heat	تابش
heat	تاؤ
heat	سوز
heat	تاب
heat	حدت
heat	جوش
till	تک
Persian	فارسي
Al-Kindi	یعقوب ابن اسحاق الکندی
encroach	قبضہ کرنا
surrounding	ارد گرد
Sochi	سوچی
bludgeon	چھوٹی لاٹھی
bludgeon	چوب دستی کرنا
damp	نم
damp	نم ناک
damaged	شکستہ
damp	گیلا
damaged	خراب
damaged	ناقص
damage	ضر
damaged	بیکا
damp	سیلا
dampness	گیلا ہٹ
Calendar Concierge	کیلنڈر دربانی
Calendar Attendant	کیلنڈر معاون
calendar	کیلنڈر
calendar program	کیلنڈر پروگرام
calendar item	کلینڈر آئٹم
Calendar Snapshot	کیلنڈر سنیپ شاٹ
ultrasonic	بالا صوتی
ultra vires	دائرہ اختیار سے باہر
lavatory	غسل خانہ
lavatory	حمام
laurel	تیز پات
lavatory	بیت الخلا
laundry man	دھوبی
laureate	مانا ہوا
laundry	دھوبی کی دکان
laundry maid	دھوبن
laundering	دھلائ
laundry	دھوبی گھر
monastery	خانقاہ
monasticism	رہبانیت
Monday	پیر
monetary	مالیاتی
paradise	جنت
godown	گدام
godly	تقی
godly	صالح
godly	مذہبی
godly	خدا پرست
godliness	تقویٰ
godless	شریر
godless	کافر
goddess	دیوی
Godspeed	خدا کا ساتھ
waken	بے دار کرنا
wakefulness	ہوشیاری
wakeful	جگا ہوا
regard	خیال کرنا
regard	دیکھنا
regard	احترام کرنا
regalia	تخت و تاج
regally	خسروانہ
regale	پر تکلف ضیافت
regard	نظر ڈالنا
regard	دھیان
Kintaro	کنٹارو
lower-case	ذرا
weeny	ذرا
Minsk	منسک
phone	فون کرنا
alacrity	پھرتی
alarm	ڈرانا
ajar	نیم وا
akin	قریب
aisle	قطاروں کے درمیان راستہ
ajar	ادھ کھلا
alacrity	آمادگی
alacrity	چالاکی
akin	ملتا جلتا
alack	حیف
just	عدل
just	عادلانہ
collection	مجموعہ
collection	ذخیرہ
collected	فراہم
laptop computer	لیپ ٹاپ کمپیوٹر
shade	شیڈ
opine	سوچنا
opinable	قابل سوچ
operator	فاعل
operator	جراح
operose	دشوار
operose	محنت طلب
operose	مشکل
opiate	افیون
opine	فرض کرنا
opine	رائے دینا
scooper	کھودنے والا
scope	وسعت
Lahore	لاہور
need	ضرورت
innate	تینت
innate	ذاتی
innate	پیدائشی
innate	طبعی
innate	جبلی
innate	مادر زاد
innate	بدہی
innate	جنمی
inn	سرائے
innate	اصلی
job	نوکری
jobber	آڑہتی
jive	بے وقوف بنانا
jive	پریشان کرنا
jive	تنگ کرنا
jive	گمراہ کن بات چیت
jive	جاذ موسیقی پر رقص
job	کام
job	مزدوری
job	ملازمت
ay/aye	ضرور
ay/aye	ہاں
axe	کلہاڑی
awry	الٹا
axiom	فرضیہ
axial	محوری
axis	محور
axis	دھرا
axle	محور
axle	دھرا
mailman	ڈاکیا
mail box	ڈاک کا ڈبہ
mail	ڈاک
Mexican Peso	میکسیکی پیسہ
Mexican pesos	میکسیکی پیسہ
Mexican peso	میکسیکی پیسہ
Malawian Kwacha	ملاوی کواچا
Malawian kwachas	ملاوی کواچا
Malawian kwacha	ملاوی کواچا
woman	عورت
delight	خوش
alive	جیتا
alive	زندہ
ability	یوگیتا
art	یوگیتا
craftsmanship	یوگیتا
dexterity	یوگیتا
handiness	یوگیتا
know-how	یوگیتا
noesis	یوگیتا
skill	یوگیتا
separated	جدا
separated	علاحدہ
separate	الگ
separate	علاحدہ
separate	جدا ہونا
separated	الگ
separate	پرے
separate	جدا
separate	الگ تھلگ
grit	کنکری
grit	کردار کی پختگی
grit	سنگ ریزہ
gritty	کرکرا
gritty	پکے کردار کا
gritty	پتھریلا
gritty	ثابت قدم
groan	آہیں بھرنا
Provinces of Afghanistan	افغانستان کے صوبے
niche	جوف
niche	جھروکا
niche	آلہ
nicety	نازک فرق
nicety	نزاکت
nicety	لطیف امتیاز
nicety	باریکی
niceness	ستھرائ
niceness	نقطہ دانی
niceness	نزاکت
France	فرانس
wolf	بھیڑیا
Anousheh Ansari	انوشے انصاری
Azeri	آزربائیجانی
Azeri	آذری
Afghanistan	افغانستان
stand	کھڑا ہونا
un	غیر
un	لا
umpteenth	ان گنت
umpteenth	بہت سے
umpteenth	لا تعداد
umpteenth	کئ
umpteen	ان گنت
umpteen	بہت سے
umpteen	لا تعداد
umpteen	کئ
women	عورتین
womenfolk	عورتین
wonder	حیرت
wonder	اعجاز
wonder	فکر
wonder	حیرانی
spoiler	در انداز
spoilt	کرکرا
spoil	خراب ہونا
spoiled	برباد
spoil	کرکرا کرنا
spoil	بگڑنا
spoiled	تباہ
spoiled	ضائع
spoiled	بگڑا
spoiled	خراب
quarter	چوتھا حصہ
quarter	محلہ
quart	پوا
quart	ظرف
quarter	چوتھ
quarter	پوا
quarter	چو پارہ کرنا
quarter	چو رنگ کرنا
quarter	چہارم
quarter	چو تھائ
alphabet	حروف تہجی
restaurant	ریستوران
restaurant	ریسٹورانٹ
responsibility	فرض
responsibility	جواب دہی
in the morning	صبح
udder	تھن
architect	معمار
architect	ارکیٹیکٹ
above	اوپر
remainder	باقی
remain	رہنا
remain	بچ جانا
rely	اعتبار کرنا
reluctant	ضدی
reluctant	ناراض
United Arab Emirates	متحدہ عرب امارات
impersonation	تبدیلی ہیئت
import	درآمد کریں
soar	چڑھنا
sob	سبکی
sob	سبکیان لینا
sob	سسکی بھرنا
sobbing	سسکی
sober	سنجیدہ
sobriety	متانت
sobriety	سنجیدگی
social	مجلسی
social	معاشرتی
contrariness	ضد
contrariness	مخالفت
contradictious	خلاف گو
contradiction	رد
contradiction	نقیذ
contradiction	خلاف گوئ
contradiction	انکار
riddle	پہیلی
compatible	موازن
pertness	تیزی
pertness	شوخی
pertness	چالاکی
pertinent	متعلق
pertinacity	ضد
pertinacity	تنگ نظری
pertinacity	پچ
pertinacious	ضدی
pertinacious	خود سر
pertinacious	ہٹ دھرم
leaning	طرف
leaning	طرف داری
leaning towards	راغب
leap	چھلانگ لگانا
leap	چوکڑی بھرنا
leap	کد کڑے لگانا
leap	کودنا
leap	کدکنا
leap	پھاندنا
leap	پھلانگنا
analogy	خط
correspondence	خط
parallelism	خط
resemblance	خط
duty	محصول
duty	عہدہ
duty	کار منصبی
duty	خدمت
duty	جزیہ
duty	کار
duty	فریضہ
duty	حاصل
duty	وظیفہ
duty	ذمہ داری
Edmund Phelps	ایڈمنڈ فیلپس
company	بزم
company	انجمن
library	کتب خانه
delicious	لطیف
Nation of Islam	نیشن آف اسلام
Web reference	ویب حوالہ
Web restrictions	ویب ممنوعات
hammock	جھولن کھٹولا
hammock	لٹکن گھاٹ
hammy	خنزیر لحمی
hamper	رکاوٹ بننا
hammerman	لوہار
hammerman	سنار
hammer	بیچنا
hammer	نیلام کرنا
hamper	پٹارا
hamper	پٹاری
hurt	زیاں
attack	مارنا
insinuation	تلمیح
insipid	بے لذت
office	آفس
office	دفتر
Hepatology	طب جگر
locus	جائے وقوع
Turkmenistan	ترکمنستان
nail	کیل
nail	کیل
acclaim	اعتراف کرنا
acclaim	آفرین
accidentally	نا گہانی
acclimatised	خوگر
acclimatised	عادی
acclimitise	عادی بننا
acclivity	فراز
acclivity	چڑھان
fajr	فجر
weekend	ویک اینڈ
stature	ہکل
Unknown Region	نامعلوم علاقہ
lion	شير
art	فن
Casablanca	دار البیضاء
studio microphone	اسٹوڈیو مائیکروفون
sesame	تل
vexed	دل گیر
vexed	خفا
dictum	روایت
dictum	قول
dictum	کہنا
dictionary	لغت
dictionary	فرہنگ
diction	انشا
diction	عبارت
dictatorship	امریت
diddle	غبن کرنا
didactic	تعلیمی
Philippines	فلپائن
Quezon City	فلپائن
Darjeeling	دار جیلنگ
famine	اکال
troublesome	آزاردہ
troublemaker	مزاحم
troubleshooter	مشکل کشا
troubled	پریشان
troubler	ایذا رسان
deceive	پٹی پڑھانا
deceive	کاوا دینا
decency	شائستگی
decency	حیا
deceiving	فریب
deceiver	خائن
swallow	نگلنا
partial replica	جزوی تصویر
parity	معادلت
parse	پارس
undrape	ننگا کرنا
undressed	بے کپڑوں کا
Jordan	اردان
Iraq	عراق
Kyrgyzstan	کرغستان
hysteria	ہیجان
hysteria	باؤ گولا
hysterical	ہیجانی
ice	برف
I	میں
ice bound	یخ بستہ
ice bound	جما ہوا
icicle	مخروطی شکل کا برف کا ڈلا
ice cream	قلفی
inaction	ڈھیل پن
inaction	الکس
inaccuracy	نا درستی
inaccuracy	غلطی
inaccurate	ناقص
inaccurate	غلط
inability	مجبوری
inability	کم زوری
inaccessible	نا قابل پہنچ
inability	نا چاری
extent	تاحد
external display	بیرونی ڈسپلے
range	ضد
range	چاند ماری
rank	درجہ
range	سلسلہ
range	قطار
means	طفیل
razor	کشری
razor	کشوری
nail polish	نیل پالش
nose	ناک
footprints	قدموں کے نشانات
open hands	کھلے ہاتھ
Istanbul	قسطنطنیہ
Istanbul	استنبول
slow	مدھم
slow	سست
slow	دھیما
slow	کاہل
slowly	آہستہ
slowly	رفتہ رفتہ
slowly	اتے اتے
slowly	اتے جاتے
slowness	اہستگی
slowness	ڈھیلا پن
Pakistan Muslim League	پاکستان مسلم لیگ
skyscraper	بلند ترین عمارات
Sextans	السدس
black hole	ثقب اسود
collapsar	ثقب اسود
missed call notification	چھوٹی ہوئی کال کی اطلاع
yoke	جوت
yoke	جوڑی
yoga	جوگ
yob	غنڈا
yoga	یوگ
yoga	مراقبے کا عالم
yogi	یوگا کرنے والا
yogi	جوگی
yoke	جوغ
yoghurt	دہی
Bahá’u’lláh	مرزا حسین علی نوری بہاء اللہ
hesitance	شک
hesitance	ہچکچاہٹ
herself	وہ خود
herpes	داد
heroism	بسالت
heroism	بہادری
Khushal Khan Khattak	خوشحال خان خٹک
World	دنیا
off colour	بیمار
off colour	درشت
off centre	انوکھا
off centre	بے مرکز
off colour	بد رنگ
off colour	بد تمیز
of late	ابھی
off	بعید
off	دور
off	ہٹا ہوا
nominal price	مفروضہ قیمت
nominally	محض نام کے لئے
nominally	برائے نام
nominal	صرف نام کو
ewe	بھیڑ
nuzzle	ناک سے بل بنانا
nuzzle	ناک سے کھودنا
nuzzle	تھوتھنی کے ساتھ کریدنا
nuzzle	تھوتھنی سے چھونا یا رگڑنا
nutritiveness	غذائت بخشی
nutritiveness	غذا کی بہم رسانی
nuzzle	چمٹ کر بیٹھنا
nuzzle	ناک گھسیڑنا یا رگڑنا
nuzzle	پالنا
corpus	مردہ جسم
corpus	جسم
corpus	جسد
corpulency	جسامت
corpulent	موٹا
corpulent	جسیم
corpulent	فربہ
corpulence	موٹاپا
corpulence	جسامت
corpulence	فربہی
hadron	ثقیلہ
arm	بازو
fermion	فیرمیون
coeliac disease	مرض سیلیئک
written	نوشتہ
written	لکھا ہوا
bony	کڑیل
boo	اف
bonehead	بدھو
author	لیکھک
writer	لیکھک
necessity	ضرورت
pistachio	پستہ
juncture	ملاپ
juncture	ملن
Awaz	آواز
Riyadh Province	صوبہ الرياض
cellular phone	موبائل فون
center	مرکز
cent sign	علامت فی صد
central processing unit	مرکزی عمل کار یونٹ
bone	ہڈی
bone	استھی
vortex	گرداب
vortex	مرغول
voracious	پیٹ
voracity	اذ
voracity	ہوکا
voracity	حرس
voracity	لالچ
voracity	طمع
vortex	بگولا
vortex	بھنور
distinction	فرق
distinct	صاف
distinct	ممتاز
poltroon	ڈر پوک
poltroon	بزدل
polytheist	مشرک
polytheism	شرک
pollution	لوث
pollution	کثافت
significance	معنی
signify	مطلب بننا
nearby	پاس
John Dalton	جان ڈالٹن
kaiserdom	بادشاہت
circle	دائرہ
lollipop	لالی پاپ
custard	کسٹرڈ
devil	دیو
Belarus	بیلاروس
Ukraine	یوکرائن
test	imtehan
Eritrea	اریٹیریا
Eritrea	اریٹیریا
Eritrea	اریٹیریا
vacant	غیر آباد
ticklish	نازک
tidy	با سلیقہ
tidy	قبول صورت
Monday	پیر
Friday	جمعہ
harmlessness	اهنسا
Gasherbrum II	گاشر برم -2
nearby	نزدیک
close	نزدیک
near	نزدیک
Earth	زمین
Earth	پرتھوی
Jerusalem	یروشلم
Jerusalem	یوروشلم
Piranshahr	پیرانشهر
teacosy	چائے پوش
invert	الٹنا
invert	پلٹنا
inverted	معکوس
inverted	اوندھا
inverter	الٹنے والا
inverted	الٹا ہوا
invertebrate	بے مہرہ
inverted comma	واوین
invest	آراستہ کرنا
invertebrate	بے ریڑہ
Sort Accents	لہجوں کی چھٹائی کریں
Sort Accents/Case/Width/Kana	لہجہ/ بڑے چھوٹے حروف/چوڑائی/Kana کی چھٹائی کریں
Sort Digits Numerically	اعداد کے لحاظ سے ہندسوں کی چھٹائی کریں
Sort Digits Individually	انفرادی طور پر ہندسوں کی چھٹائی کریں
Sort Base Letters Only	صرف اساسی حروف کی چھٹائی کریں
Sort All	سبھی کی چھٹائی کریں
Zhou Enlai	چو این لائی
such	ویسا
such as	جیسا
succour	دست گیری
succour	فریاد رسی
succour	مدد
such	اسا
successively	لگاتار
successively	پیہم
successor	جا نشین
successor	خلف
memory	یاد
Patil	پاٹل
noose	پھندا
noose	حلقہ
no one	کوئ نہیں
noontide	دو پہر کا وقت
noonday	کسی کا زمانہ عروج
noonday	دو پہر کا وقت
noon	دو پہر
nook	تنگ جگہ
nook	کونا
nook	گوشہ
pulse	ناڑي
natural	فطری
natural	بلا تصنوع
Babi Yar	بابی جار
Guinea-Bissau	گنی بساؤ
Engine	محرکیہ
China	چین
cacao	کوکو
Danish	ڈينش
km³	km³
mote	ذرہ
motet	بھجن
mot	اصول
mote	دھبہ
moth	پتنگا
mothball	کافوری گولی
motet	مذہبی گیت
moth	پروانہ
moth eaten	بوسیدہ
moth eaten	فرسودہ
France	[[فرانس]]
Frisian	فريژين
eat	پینا
fuddle	پینا
gulp	پینا
quaff	پینا
smoke	پینا
suck	پینا
take	پینا
observance	رواج
observance	ریت
observable	نمایاں
observably	نمایاں طور پر
