#hash-mark	hamork
#pound-sign	pawndsoyn
%	p'rsent
&	'nd and
abnormally	'bncrm'lYy
abo	ob'w
abo's	ob'wz
aboard	'bcrd
abode	'buwd
abohalima	'b'h'lYym'
abolish	'bol'S
abolished	'bol'St
abolishes	'bol'S'z
abolishing	'bol'S'N
abolition	ab'liS'n
abolitionism	ab'liS'niz'm
abolitionist	ab'liS'n'st
abolitionists	ab'liS'n's ab'liS'n'sts
abominable	'bom'n'b'l
abomination	'bom'neyS'n
abominations	'bom'neyS'nz
abood	'bWwd
aboodi	'bWwdYy
abor	'bcr
aboriginal	ab'ridZ'n'l
aborigine	ab'ridZ'nYy
aborigines	ab'ridZ'nYyz
aborn	'bcrn
abort	'bcrt
aborted	'bcrt'd
abortifacient	'bcrt'feyS'nt
abortifacients	'bcrt'feyS'nts
aborting	'bcrt'N
abortion	'bcrS'n
abortionist	'bcrS'n'st
abortionists	'bcrS'n's 'bcrS'n'sts
abortions	'bcrS'nz
abortive	'bcrt'v
aborts	'bcrts
abott	'bot
abou	'bWw
aboud	'bWwd
abouhalima	obWwh'lYym'
abouhalima's	obWwh'lYym'z
abound	'bawnd
abounded	'bawnd'd
abounding	'bawnd'N
abounds	'bawndz
about	'bawt
about's	'bawts
above	'buv
above's	'buvz
aboveboard	'buvbcrd
abplanalp	abpl'n'lp
abra	obr'
abracadabra	abr'k'dabr'
abraham	eybr'ham
abrahamian	abr'heymYy'n
abrahams	eybr'hamz
abrahamsen	'br'hams'n
abrahamson	'brah'ms'n
abram	'bram
abram's	eybr'mz
abramczyk	obr'mtS'k
abramo	'brom'w
abramovitz	'brom'v'ts
abramowicz	'brom'v'tS
abramowitz	'brom'w'ts
abrams	eybr'mz
abrams's	eybr'mz'z
abramson	eybr'ms'n
abrasion	'breyZ'n
abrasions	'breyZ'nz
abrasive	'breys'v
abrasives	'breys'vz
abraxa	'braks'
abraxa's	'braks'z
abraxas	'braks'z
abreast	'brest
abrego	'breg'w
abreu	'brWw
abridge	'bridZ
abridged	'bridZd
abridgement	'bridZm'nt
abridges	'bridZ'z
abridging	'bridZ'N
abril	'bril
abroad	'brod
abrogate	abr'geyt
abrogated	abr'geyt'd
abrogating	abr'geyt'N
abrogation	abr'geyS'n
abrol	'bruwl
abron	'bron
abrupt	'brupt
abruptly	'bruptlYy
abruptness	'bruptn's
abrutyn	eybrWwt'n
abruzzese	'brWwtseyzYy
abruzzo	'brWwz'w
abs	abz eybYyes
absalom	abs'l'm
absaraka	'bsor'k'
abscam	absk'm
abscess	abses
abscond	'bskond
absconded	'bskond'd
absconding	'bskond'N
absconds	'bskondz
absecon	abs'k'n
absence	abs'ns
absences	abs'ns'z
absent	abs'nt
absentee	abs'ntYy
absenteeism	abs'ntYy'z'm
absentees	abs'ntYyz
absentia	'bsenS'
absher	abS'r
abshier	abSYy'r
abshire	abSoyr
absinthe	abs'nT
abso	abs'w
absolom	abs'l'm
absolut	abs'lWwt
absolut's	abs'lWwts
absolute	abs'lWwt
absolutely	abs'lWwtlYy
absoluteness	abs'lWwtn's
absolutes	abs'lWwts
absolution	abs'lWwS'n
absolutism	abs'lWwtiz'm
absolutist	'bs'lWwt'st
absolve	'bzolv
absolved	'bzolvd
absolves	'bzolvz
absolving	'bzolv'N
absorb	'bzcrb
absorbed	'bzcrbd
absorbency	'bzcrb'nsYy
absorbent	'bzcrb'nt
absorber	'bzcrb'r
absorbers	'bzcrb'rz
absorbing	'bzcrb'N
absorbs	'bzcrbz
absorption	'bscrpS'n 'bzcrpS'n
abstain	'bsteyn
abstained	'bsteynd
abstaining	'bsteyn'N
abstention	'bstentS'n
abstentions	'bstentS'nz
abstinence	abst'n'ns
abstinent	abst'n'nt
abston	abst'n
abstract	'bstrakt abstrakt
abstracted	abstrakt'd
abstraction	'bstrakS'n
abstractions	'bstrakS'nz
abstracts	abstr'kts
abstruse	'bstrWws
absurd	'bsRrd
absurdist	'bsRrd'st
absurdities	'bsRrd'tYyz
absurdity	'bsRrd'tYy
absurdly	'bsRrdlYy
abt	abt eybYytYy
abts	abts eybYytYyes eybYytYyz
abu	abWw
abudrahm	'budr'm
abuellah	'bwel'
abuellah's	'bwel'z
abuladze	abyWwladzYy
abundance	'bund'ns
abundant	'bund'nt
abundantly	'bund'ntlYy
aburto	'bUrtuw
aburto's	'bUrtuwz
abuse	'byWws 'byWwz
abused	'byWwzd
abuser	'byWwz'r
abusers	'byWwz'rz
abuses	'byWws'z 'byWwz'z
abusing	'byWwz'N
abusive	'byWws'v
abut	'but
abuts	'buts
abutted	'but'd
abutting	'but'N
abuzz	'buz
abysmal	'bizm'l
abysmally	'bizm'lYy
abyss	'bis
abyssinia	'bsinYy'
abyssinian	'bsinYy'n
abzug	abzIg abzug
ac	eysYy
aca	ak'
acacia	'keyS'
academe	ak'dYym
academia	ak'dYymYy'
academic	ak'dem'k
academically	ak'dem'klYy
academician	ak'd'miS'n
academicians	'kad'miS'nz ak'd'miS'nz
academics	ak'dem'ks
academies	'kad'mYyz
academy	'kad'mYy
academy's	'kad'mYyz
acadia	'keydYy'
acampo	'komp'w
acampora	'kamp'r'
acampsia	'kampsy'
acantha	'konD'
acapulco	ak'pUlk'w
acary	ak'rYy
accardi	'kordYy
accardo	'kord'w
accede	'ksYyd
acceded	'ksYyd'd
accedes	'ksYydz
acceding	'ksYyd'N
accel	'ksel
accelerant	'ksel'r'nt
accelerants	'ksel'r'nts
accelerate	'ksel'reyt
accelerated	'ksel'reyt'd
accelerates	'ksel'reyts
accelerating	'ksel'reyt'N
acceleration	aksel'reyS'n
accelerator	'ksel'reyt'r
accelerators	'ksel'reyt'rz
accelerometer	'ksel'rom't'r
accelerometers	'ksel'rom't'rz
accent	'ksent aksent
accented	aks'nt'd
accenting	aks'nt'N
accents	aks'nts
accentuate	'ksentSWw'yt
accentuated	'ksentSWweyt'd
accentuates	'ksentSWweyts
accentuating	'ksentSWweyt'N
accept	'ksept
acceptability	'ksept'bil'tYy
acceptable	'ksept'b'l
acceptably	'ksept'blYy
acceptance	'ksept'ns
acceptances	'ksept'ns'z
accepted	'ksept'd
accepting	'ksept'N
accepts	'ksepts
access	akses
accessed	aksest
accessibility	aks's'bil'tYy
accessible	'kses'b'l
accessing	akses'N
accession	'kseS'n
accessories	'kses'rYyz
accessorize	'kses'royz
accessorized	'kses'royzd
accessory	'kses'rYy
accetta	'tSet'
accident	aks'd'nt
accident's	aks'd'nts
accidental	aks'den'l aks'dent'l
accidentally	aks'den'lYy aks'dent'lYy
accidently	aks'd'ntlYy
accidents	aks'd'nts
accion	atSYy'n
accival	as'vol
acclaim	'kleym
acclaim's	'kleymz
acclaimed	'kleymd
acclaiming	'kleym'N
acclaims	'kleymz
acclamation	akl'meyS'n
acclimate	akl'meyt
acclimated	akl'meyt'd
acclimation	akl'meyS'n
acco	ak'w
accokeek	ak'wkYyk
accola	'kuwl'
accolade	ak'leyd
accolades	ak'leydz
accomando	'k'wmond'w
accommodate	'kom'deyt
accommodated	'kom'deyt'd
accommodates	'kom'deyts
accommodating	'kom'deyt'N
accommodation	'kom'deyS'n
accommodations	'kom'deyS'nz
accommodative	'kom'deyt'v
accompanied	'kump'nYyd
accompanies	'kump'nYyz
accompaniment	'kumpn'm'nt 'kumpnYym'nt
accompaniments	'kumpn'm'nts 'kumpnYym'nts
accompanist	'kump'n'st
accompany	'kump'nYy
accompanying	'kump'nYy'N
accompli	'komplYy okomplYy
accomplice	'kompl's
accomplices	'kompl's'z
accomplish	'kompl'S
accomplished	'kompl'St
accomplishes	'kompl'S'z
accomplishing	'kompl'S'N
accomplishment	'kompl'Sm'nt
accomplishments	'kompl'Sm'nts
accor	akcr
accor's	ak'rz
accord	'kcrd
accord's	'kcrdz
accordance	'kcrd'ns
accorded	'kcrd'd
according	'kcrd'N
accordingly	'kcrd'NlYy
accordion	'kcrdYy'n
accordions	'kcrdYy'nz
accords	'kcrdz
accost	'kost
accosted	'kost'd
accosting	'kost'N
account	'kawnt
account's	'kawnts
accountability	'kawnt'bil'tYy
accountable	'kawnt'b'l
accountancy	'kawnt'ntsYy
accountant	'kawnt'nt
accountant's	'kawnt'nts
accountants	'kawnt'nts
accountants'	'kawnt'nts
accounted	'kawnt'd
accountemp	'kawntemp
accountemps	'kawntemps
accounting	'kawn'N 'kawnt'N
accounts	'kawnts
accouterment	'kWwt'rm'nt
accouterments	'kWwt'rm'nts
accoutrement	'kWwt'rm'nt
accoutrements	'kWwt'rm'nts
accra	okro
accredit	'kredit
accreditation	'kred'teyS'n
accreditations	'kred'teyS'nz
accredited	'kred't'd
accrediting	'kred't'N
accreted	'krYyt'd
accretion	'krYyS'n
accrual	'krWw'l
accruals	'krWw'lz
accrue	'krWw
accrued	'krWwd
accrues	'krWwz
accruing	'krWw'N
accu	akyWw
accuhealth	akyWwhelT
accumulate	'kyWwmy'leyt
accumulated	'kyWwmy'leyt'd
accumulates	'kyWwmy'leyts
accumulating	'kyWwmy'leyt'N
accumulation	'kyWwmy'leyS'n
accumulations	'kyWwmy'leyS'nz
accumulative	'kyWwmy'leyt'v
accumulatively	'kyWwmy'l'tivlYy 'kyWwmy'leyt'vlYy
accumulator	'kyWwmy'leyt'r
accumulators	'kyWwmy'leyt'rz
accuracies	aky'r'sYyz
accuracy	aky'r'sYy
accurate	aky'r't
accurately	aky'r'tlYy
accuray	aky'rey
accuray's	aky'reyz
accuride	aky'royd
accurso	'kUrs'w
accusation	aky'zeyS'n akyWwzeyS'n
accusations	aky'zeyS'nz akyWwzeyS'nz
accusative	'kyWwz't'v
accusatory	'kyWwz'tcrYy
accuse	'kyWwz
accused	'kyWwzd
accuser	'kyWwz'r
accusers	'kyWwz'rz
accuses	'kyWwz'z
accusing	'kyWwz'N
accusingly	'kyWwz'NlYy
accustom	'kust'm
accustomed	'kust'md
accutane	akyWwteyn
ace	eys
acecomm	eysk'm
aced	eyst
acer	eys'r
acerbic	'serb'k
acero	'Ter'w 'ser'w 'syer'w
acerra	'ser'
aces	eys'z
acetaminophen	'sYyt'min'f'n
acetate	as'teyt
acetic	'sYyt'k 'set'k
aceto	'set'w
acetochlor	'set'wklcr
acetone	as'tuwn
acetosyringone	'set'wsir'Ng'n
acetylcholine	'sYyt'lkuwlYyn 'set'lkuwlYyn
acetylene	'set'lYyn
acevedo	's'veyd'w
aceves	'seyv's
acey	eysYy
achaean	'tSYy'n
achatz	ak'ts
ache	eyk
achebe	'tSeybYy
ached	eykt
achee	'tSYy
achenbach	ak'nb'k
achenbaum	ak'nbawm
aches	eyks
acheson	atS's'n
acheson's	atS's'nz
achesons	atS's'nz
achey	atSYy
achieva	'tSYyv'
achievable	'tSYyv'b'l
achieve	'tSYyv
achieved	'tSYyvd
achievement	'tSYyvm'nt
achievements	'tSYyvm'nts
achiever	'tSYyv'r
achievers	'tSYyv'rz
achieves	'tSYyvz
achieving	'tSYyv'N
achille	'kilYy
achilles	'kilYyz
achilles'	'kilYyz
aching	eyk'N
achingly	eyk'NlYy
achmed	ohm'd
achoa	'tSuw'
achoa's	'tSuw'z
achoo	otSWw
achor	eyk'r
achord	akcrd
achorn	ak'rn
achtenberg	akt'nb'rg
achterberg	akt'rb'rg
achy	eykYy
acid	as'd
acidic	'sid'k
acidification	'sid'f'keyS'n
acidified	'sid'foyd
acidifies	'sid'foyz
acidify	'sid'foy
acidity	'sid'tYy
acidly	as'dlYy
acidosis	as'duws's
acids	as'dz
aciduria	as'dUrYy'
acierno	'sirn'w
ack	ak
acker	ak'r
acker's	ak'rz
ackerley	ak'rlYy
ackerly	ak'rlYy
ackerman	ak'rm'n
ackermann	ak'rm'n
ackermanville	ak'rm'nv'l
ackerson	ak'rs'n
ackert	ak'rt
ackhouse	akhaws
ackland	akl'nd
ackles	ak'lz
ackley	aklYy
acklin	akl'n
ackman	akm'n
acknowledge	'knol'dZ
acknowledgeable	'knol'dZ'b'l
acknowledged	'knol'dZd
acknowledgement	'knol'dZm'nt
acknowledgements	'knol'dZm'nts
acknowledges	'knol'dZ'z
acknowledging	'knol'dZ'N
acknowledgment	'knol'dZm'nt
ackroyd	akrcyd
ackroyd's	akrcydz
acmat	akm't
acmat's	akm'ts
acme	akmYy
acme's	akmYyz
acne	aknYy
acocella	'k'wtSel'
acoff	ak'f
acog	'kog
acolyte	ak'loyt
acolytes	ak'loyts
acord	'kcrd
acordia	'kcrdYy'
acorn	eykcrn
acorn's	eykcrnz
acorns	eykcrnz
acosta	'kost'
acott	eyk't
acoustic	'kWwst'k
acoustical	'kWwst'k'l
acoustically	'kWwst'klYy
acoustics	'kWwst'ks
acquaint	'kweynt
acquaintance	'kweynt'ns
acquaintances	'kweynt'ns'z
acquaintanceship	'kweynt'nsS'p
acquainted	'kweyn'd 'kweynt'd
acquaviva	'kw'vYyv'
acquiesce	akwYyes
acquiesced	akwYyest
acquiescence	akwYyes'ns
acquiescing	akwYyes'N
acquire	'kwoy'r
acquired	'kwoy'rd
acquirer	'kwoy'r'r
acquirer's	'kwoy'r'rz
acquirers	'kwoy'r'rz
acquires	'kwoy'rz
acquiring	'kwoy'r'N 'kwoyr'N
acquisition	akw'ziS'n
acquisition's	akw'ziS'nz
acquisitions	akw'ziS'nz
acquisitive	'kwiz't'v
acquit	'kwit
acquitaine	akw'teyn
acquits	'kwits
acquittal	'kwit'l
acquittals	'kwit'lz
acquitted	'kwit'd
acquitting	'kwit'N
acre	eyk'r
acreage	eyk'r'dZ eykr'dZ
acree	'krYy
acres	eyk'rz
acrey	akrYy
acri	okrYy
acrid	akr'd
acrimonious	akr'muwnYy's
acrimony	akr'muwnYy
acro	akr'w
acrobat	akr'bat
acrobatic	akr'bat'k
acrobatics	akr'bat'ks
acrobats	akr'bats
acrolein	akr'wlYyn
acronym	akr'n'm
acronyms	akr'n'mz
acropolis	'krop'l's
across	'kros
acrylic	'kril'k
acrylics	'kril'ks
act	akt
act's	akts
actava	aktov'
actava's	aktov'z
actavas	aktov'z
acted	akt'd
actel	akt'l
actigall	akt'g'l
actin	akt'n
acting	akt'N
actinide	akt'noyd
actinidia	akt'nidYy'
actinomycosis	aktin'wmoykuws's
action	akS'n
action's	akS'nz
actionable	akS'n'b'l
actions	akS'nz
activase	akt'veyz
activate	akt'veyt
activated	akt'veyt'd
activates	akt'veyts
activating	akt'veyt'N
activation	akt'veyS'n
activator	akt'veyt'r
active	akt'v
active's	akt'vz
actively	akt'vlYy
actives	akt'vz
activision	akt'viZ'n
activism	akt'viz'm
activist	akt'v'st
activists	akt'v'sts
activists'	akt'v'sts
activities	'ktiv'tYyz
activity	'ktiv'tYy
actmedia	'ktmYydYy'
actodine	akt'wdoyn
acton	akt'n
actor	akt'r
actor's	akt'rz
actors	akt'rz
actors'	akt'rz
actress	aktr's
actress's	aktr's'z
actresses	aktr's'z
acts	aks akts
actual	akS'l aktS'w'l
actuality	aktSWwal'tYy
actualize	aktSWw'loyz
actually	akS'lYy aktSWw'lYy aktSlYy
actuarial	aktSWwerYy'l
actuaries	aktSWwerYyz
actuary	aktSWwerYy
actuate	aktSWweyt
actuator	aktSWweyt'r aktyWweyt'r
actuators	aktSWweyt'rz aktyWweyt'rz
actus	akt's
acuff	'kuf
acuity	'kyWw'tYy
acumen	'kyWwm'n
acuna	'kWwn'
acupuncture	akyWwpuNktS'r
acura	aky'r'
acura's	aky'r'z
acuras	aky'r'z
acuson	akyWws'n
acustar	akyWwstor
acusyst	akyWws'st
acute	'kyWwt
acutely	'kyWwtlYy
acuteness	'kyWwtn's
acyclovir	'sikl'wvir
ad	ad
ad's	adz
ad-hoc	adhok
ad-lib	adlib
ad-nauseam	adnozYy'm
ad-nauseum	adnozYy'm
ada	eyd'
ada's	eyd'z
adabel	ad'b'l
adabelle	ad'b'l
adachi	'dokYy
adage	ad'dZ
adagio	'doZYyuw
adah	ad'
adair	'der
adaire	'der
adak	'dak
adalah	'dol'
adalia	'dolYy'
adam	ad'm
adam's	ad'mz
adamant	ad'm'nt
adamantly	ad'm'ntlYy
adamcik	od'mtS'k
adamczak	od'mtS'k
adamczyk	od'mtS'k
adame	'domYy
adamec	'dom'k
adamek	'dom'k
adames	'deymz
adami	'domYy
adamik	'dom'k
adamina	'd'mYyn'
adamkus	ad'mk's
adamo	'dom'w
adamowicz	'dom'v'tS
adams	ad'mz
adams'	ad'mz
adams's	ad'mz'z
adamski	'damskYy
adamson	ad'ms'n
adamstown	ad'mstawn
adan	eyd'n
adapso	'daps'w
adapt	'dapt
adaptability	'dapt'bil'tYy
adaptable	'dapt'b'l
adaptaplex	'dapt'pleks
adaptation	ad'pteyS'n
adaptations	ad'pteyS'nz
adaptec	'daptek
adaptec's	'dapteks
adapted	'dapt'd
adapter	'dapt'r
adapters	'dapt'rz
adapting	'dapt'N
adaptive	'dapt'v
adaptor	'dapt'r
adaptors	'dapt'rz
adapts	'dapts
adar	'dor
adarand	ad'rand
adas	eyd'z
aday	'dey
adaza	'doz'
adcock	'dkok
adcox	'dkoks
add	ad
addair	'der
addams	ad'mz
added	ad'd
addendum	'dend'm
addendums	'dend'mz
addeo	odYy'w
adder	ad'r
adderley	'dRrlYy
addicks	ad'ks
addict	'dikt adikt
addicted	'dikt'd
addicting	'dikt'N
addiction	'dikS'n
addictions	'dikS'nz
addictive	'dikt'v
addicts	'dikts adikts
addidas	'dYyd's
addidas'	'dYyd's
addidas's	'dYyd's'z
addidases	'dYyd's'z
addie	adYy
adding	ad'N
addington	ad'Nt'n
addis	od's
addis-ababa	od's'bob' odYys'bob'
addison	ad's'n
addison's	ad's'nz
addition	'diS'n
additional	'diS'n'l
additionally	'diS'nulYy
additions	'diS'nz
additive	ad't'v
additives	ad't'vz
addle	ad'l
addled	ad'ld
addleman	ad'lm'n
address	'dres adres
addressable	'dres'b'l
addressed	'drest
addressee	adr'sYy
addresses	'dres'z adres'z
addressing	'dres'N
adds	adz
adduci	'dWwtSYy
adduct	ad'kt
addwest	adwest
addy	adYy
addyston	adYyst'n
ade	eyd
adee	'dYy
adel	'del
adela	'del'
adelaar	ad'lor
adelaide	ad'leyd
adelanto	'd'lont'w
adelbert	'delb'rt
adele	'del
adele's	'delz
adeline	ad'loyn
adelizzi	ad'lYyzYy
adell	'del
adell's	'delz
adelle	'del
adelman	ad'lm'n ed'lm'n
adelmann	ad'lm'n
adelpha	'delf'
adelphi	'delfYy
adelphia	'delfYy'
adelphia's	'delfYy'z
adelsberger	ad'lzb'rg'r
adelson	ad'ls'n
adelstein	ad'lst'yn ad'lstYyn
aden	eyd'n
adena	ad'n'
adenauer	ad'nawr eyd'nawr
adenine	ad'nYyn
adenoid	ad'ncyd
adenoids	ad'ncydz
adenoscan	'den'skan
adenosine	'den'sYyn
adenovirus	'den'voyr's
adept	'dept
adequacy	ad'kw'sYy
adequate	ad'kw't ad'kweyt
adequately	ad'kw'tlYy
ader	eyd'r
aderhold	ad'rh'wld
aderholt	ad'rh'wlt
aderman	ad'rm'n
ades	eydz
adey	eydYy
adger	adZ'r
adham	adh'm
adhere	'dhir
adhered	'dhird
adherence	'dhir'ns
adherent	'dhir'nt
adherents	'dhir'nts
adheres	'dhirz
adhering	'dhir'N
adhesion	'dhYyZ'n
adhesive	'dhYys'v
adhesives	'dhYys'vz
adia	odYy'
adid	'did
adidas	'dYyd's
adidas's	'dYyd's'z
adieu	'dWw
adin	'din
adina	'dYyn'
adine	'dYynYy
adinolfi	'dYynuwlfYy
adios	odYyuws
adipose	ad'puws
adirondack	ad'rond'k
adisq	'disk eyd'sk
adjacent	'dZeys'nt
adjani	'ddZonYy
adjective	adZ'kt'v
adjectives	adZ'kt'vz
adjoin	'dZcyn
adjoining	'dZcyn'N
adjoins	'dZcynz
adjourn	'dZRrn
adjourned	'dZRrnd
adjourning	'dZRrn'N
adjournment	'dZRrnm'nt
adjourns	'dZRrnz
adjudge	'dZudZ
adjudged	'dZudZd
adjudicate	'dZWwd'keyt
adjudicated	'dZWwd'keyt'd
adjudicating	'dZWwd'keyt'N
adjudication	'dZWwd'keyS'n
adjunct	adZuNkt
adjuncts	adZuNkts
adjust	'dZust
adjustable	'dZust'b'l
adjustables	'dZust'b'lz
adjusted	'dZust'd
adjuster	'dZust'r
adjusters	'dZust'rz
adjusting	'dZust'N
adjustment	'dZustm'nt
adjustments	'dZustm'nts
adjusts	'dZusts
adjutant	adZ't'nt
adkins	adk'nz
adkinson	adk'ns'n
adkison	adk's'n
adkisson	adk's'n
adl-tabataba	od'ltob'tob'
adl-tabatabai	od'ltob'tuboy
adlai	'dloYy
adler	adl'r
adler's	adl'rz
adlers	adl'rz
adley	adlYy
adlon	adl'n
adlong	adl'N
adman	adm'n
admen	adm'n
admin	adm'n
administer	'dmin'st'r
administered	'dmin'st'rd
administering	'dmin'stRr'N
administers	'dmin'st'rz
administrate	'dmin'streyt
administrating	'dmin'streyt'N
administration	'dmin'streyS'n
administration's	'dmin'streyS'nz
administrations	'dmin'streyS'nz
administrations'	'dmin'streyS'nz
administrative	'dmin'streyt'v
administratively	'dmin'streyt'vlYy
administrator	'dmin'streyt'r
administrator's	'dmin'streyt'rz
administrators	'dmin'streyt'rz
administrators'	'dmin'streyt'rz
admins	adm'nz
admira	'dmoyr'
admira's	'dmoyr'z
admirable	adm'r'b'l admr'b'l
admirably	adm'r'blYy
admiral	adm'r'l
admiral's	adm'r'lz
admirals	adm'r'lz
admiralty	adm'r'ltYy
admiration	adm'reyS'n
admirations	adm'reyS'nz
admire	'dmoyr
admired	'dmoy'rd
admirer	'dmoyr'r
admirers	'dmoyr'rz
admires	'dmoyrz
admiring	'dmoyr'N
admiringly	'dmoyr'NlYy
admissibility	'dmis'bil'tYy
admissible	'dmis'b'l
admission	'dmiS'n
admissions	'dmiS'nz
admit	'dmit
admits	'dmits
admittance	'dmit'ns
admitted	'dmit'd
admittedly	'dmit'dlYy
admitting	'dmit'N
admonish	'dmon'S
admonished	'dmon'St
admonishes	'dmon'S'z
admonishing	'dmon'S'N
admonishment	'dmon'Sm'nt
admonition	adm'niS'n
admonitions	adm'niS'nz
admonitory	admon'tcrYy
adnan	adn'n
adney	adnYy
ado	'dWw
adobe	'duwbYy
adobe's	'duwbYyz
adolescence	ad'les'ns ad'wles'ns
adolescent	ad'les'nt ad'wles'nt
adolescents	ad'les'nts ad'wles'nts
adolf	eyd'lf
adolf's	eyd'lfs
adolfo	'dolfuw
adolph	eyd'lf
adolpha	'duwlf'
adolphson	ad'wlfs'n
adolphus	'dolf's
adon	'don
adonia	'duwnYy'
adonis	'don's
adopt	'dopt
adoptable	'dopt'b'l
